# DISTANCE:     AVE_GOFR:        ERROR:
2.940803351893520823e+00 9.821991814187950309e-01 4.713178184531654981e-04
3.005436392594477368e+00 9.802426514406833435e-01 4.908770952223095530e-04
3.070069433295433914e+00 9.790276536980172528e-01 4.523682064424122402e-04
3.134702473996390459e+00 9.778193630336847741e-01 3.910924878429526143e-04
3.199335514697347005e+00 9.778236723766302596e-01 4.242607727147999492e-04
3.263968555398303550e+00 9.762635614916826965e-01 4.247356681622096205e-04
3.328601596099260096e+00 9.766495628560586395e-01 4.236151348378001751e-04
3.393234636800216641e+00 9.756431691611188173e-01 3.522814989742313694e-04
3.457867677501172743e+00 9.757957606615231816e-01 3.736940977927997272e-04
3.522500718202129288e+00 9.749737629025202468e-01 3.727670099260819059e-04
3.587133758903085834e+00 9.749534348464596878e-01 3.643402265273060800e-04
3.651766799604042379e+00 9.744504792112157476e-01 3.511497368492451213e-04
3.716399840304998925e+00 9.741520424534813039e-01 3.423739538030596825e-04
3.781032881005955470e+00 9.740898595068392396e-01 3.748680003001364242e-04
3.845665921706912016e+00 9.738220785555984360e-01 3.581530970815960694e-04
3.910298962407868562e+00 9.734876651082327026e-01 3.141760194663116416e-04
3.974932003108825107e+00 9.737273640562206234e-01 3.051213077801379590e-04
4.039565043809781208e+00 9.736254548565638212e-01 2.981764110390656172e-04
4.104198084510738198e+00 9.733305137967128706e-01 2.826897332161437551e-04
4.168831125211694300e+00 9.737878316212161822e-01 3.187187760402928520e-04
4.233464165912651289e+00 9.738177713565857596e-01 2.903157323514419966e-04
4.298097206613607391e+00 9.733923934037075343e-01 2.956470707335345457e-04
4.362730247314564380e+00 9.738715824209580596e-01 2.650013668644802070e-04
4.427363288015520482e+00 9.739896844466674475e-01 2.961818460878408096e-04
4.491996328716476583e+00 9.737997868847976246e-01 2.737263435682076441e-04
4.556629369417433573e+00 9.731450934146291809e-01 2.703975113765188956e-04
4.621262410118389674e+00 9.732842290973140464e-01 2.661366623163403228e-04
4.685895450819346664e+00 9.737970836654639140e-01 2.825758682499254857e-04
4.750528491520302765e+00 9.737467741060702453e-01 2.819854923535792981e-04
4.815161532221259755e+00 9.737193180460088637e-01 2.906305035348153527e-04
4.879794572922215856e+00 9.739695047326997202e-01 2.842324996446705661e-04
4.944427613623172846e+00 9.745522734777235518e-01 2.424362008699026960e-04
5.009060654324128947e+00 9.747517353214569802e-01 2.514230860454291588e-04
5.073693695025085937e+00 9.743337596176725457e-01 2.315030499999736261e-04
5.138326735726042038e+00 9.744871674015892493e-01 2.372627845297019646e-04
5.202959776426998140e+00 9.737780885276149379e-01 2.537925552543273517e-04
5.267592817127955129e+00 9.747880972228112340e-01 2.780692445259482469e-04
5.332225857828911231e+00 9.742957680386336028e-01 2.202594173562234402e-04
5.396858898529868220e+00 9.744876372016755273e-01 2.507914354435674797e-04
5.461491939230824322e+00 9.744802422868796832e-01 2.250267164191251926e-04
5.526124979931781311e+00 9.750273897479746488e-01 2.192509986427083662e-04
5.590758020632737413e+00 9.748273371411968480e-01 2.389767929428395735e-04
5.655391061333694402e+00 9.749583576537846907e-01 2.249826073408397380e-04
5.720024102034650504e+00 9.750012154020918365e-01 2.594332366759005519e-04
5.784657142735607493e+00 9.751656096144282193e-01 2.040703561036311911e-04
5.849290183436563595e+00 9.753501862896081231e-01 1.933057264744053789e-04
5.913923224137519696e+00 9.753744603462652929e-01 2.259679867740682863e-04
5.978556264838476686e+00 9.753374669714789391e-01 1.970739795158682386e-04
6.043189305539432787e+00 9.752454514730689583e-01 2.213408705816135452e-04
6.107822346240389777e+00 9.757097734326773963e-01 2.062709237500693455e-04
6.172455386941345878e+00 9.757321646385253011e-01 2.241317713908760065e-04
6.237088427642302868e+00 9.759269324774325627e-01 2.014073927554184027e-04
6.301721468343258969e+00 9.759240119796983581e-01 1.972388677191459641e-04
6.366354509044215959e+00 9.760199017174051583e-01 1.927185367465326980e-04
6.430987549745172061e+00 9.760531531464810007e-01 1.711708445539792442e-04
