     MU:      SIGMA:     E_MEASURED:    ERROR:
     -0.1628     0.62329     0.19422   0.0085232
   -0.061689     0.92185    -0.23085   0.0047625
     0.10837     0.96213    -0.25114   0.0053499
    0.041354     0.76388   -0.038275   0.0060959
     0.26639     0.64966    0.056636   0.0071574
     0.39445     0.87928    -0.25269   0.0050834
     0.49896     0.85298    -0.27582   0.0064343
     0.74974     0.93406    -0.12068    0.015033
     0.69463     0.66417    -0.39859    0.003077
     0.79429     0.44784   -0.044769    0.010501
     0.51995      0.7273    -0.27044   0.0040216
      0.6053     0.91358    -0.25603    0.010362
     0.46487     0.76456    -0.24657   0.0046604
     0.52112     0.52526    -0.15488   0.0046413
     0.52112     0.52526    -0.15488   0.0046413
     0.52112     0.52526    -0.15488   0.0046413
      0.5719     0.76569     -0.3065   0.0044507
     0.84142     0.72401    -0.35536   0.0072287
     0.63261     0.93992    -0.20861    0.014422
     0.63261     0.93992    -0.20861    0.014422
     0.50054     0.98692    -0.21635    0.011224
     0.77059     0.99311    0.014989    0.020571
      0.6705       1.108     0.20819    0.033994
      0.6705       1.108     0.20819    0.033994
      0.6705       1.108     0.20819    0.033994
     0.44002      1.1832     0.06514    0.022689
     0.44002      1.1832     0.06514    0.022689
     0.71067     0.99865   -0.026082     0.01849
     0.47284      1.1622     0.10281    0.028155
     0.23103       1.294     0.22736    0.036045
     0.23709      1.2237    0.088253    0.026423
     0.48759       1.065    -0.10528    0.020993
     0.39422     0.99007    -0.23671   0.0084526
     0.68577      0.8343    -0.29379   0.0086251
     0.92996     0.64437    -0.36842   0.0046493
     0.68765     0.92241    -0.16495    0.014703
     0.89093     0.96079     0.20623    0.023429
     0.80256      1.0726     0.34243    0.032878
     0.90631     0.98155     0.31695    0.029509
     0.65057      1.2709     0.67021    0.055991
     0.65057      1.2709     0.67021    0.055991
     0.65057      1.2709     0.67021    0.055991
     0.51216      1.0399    -0.14867    0.014758
     0.26101     0.82275    -0.18733   0.0047709
     0.29572     0.60515     0.11527   0.0070799
     0.29572     0.60515     0.11527   0.0070799
     0.21345     0.75919   -0.094359   0.0058402
    0.072938     0.85882    -0.17806   0.0049014
     0.15575     0.70621    0.029532   0.0064321
      0.3206     0.70236   -0.074467   0.0062592
     0.12568     0.90433    -0.22166   0.0060923
   -0.058697     0.77384   -0.057262   0.0060953
    0.022639     0.70878    0.061248   0.0065762
    -0.09345     0.99478    -0.24863   0.0072973
   -0.085156      1.0535    -0.24109   0.0087438
    -0.29013     0.82387     -0.1891   0.0063747
    -0.50139     0.76742    -0.26499   0.0045998
    -0.50139     0.76742    -0.26499   0.0045998
    -0.38831     0.54738    0.089837   0.0070489
     -0.5279     0.62404    -0.23183   0.0040347
    -0.44976     0.62668     -0.1266   0.0051874
    -0.25077        0.79      -0.139   0.0057809
     -0.2337     0.92856    -0.25017   0.0053482
    -0.20029     0.68969    0.033796   0.0066392
     -0.4019     0.77628    -0.21167   0.0040528
    -0.37659     0.89397    -0.25698   0.0057983
    -0.53466     0.72816    -0.28137   0.0038163
    -0.60961     0.90059    -0.25825    0.010514
    -0.76367     0.69208    -0.40757   0.0041511
    -0.73683      0.6395     -0.4259   0.0023436
    -0.73683      0.6395     -0.4259   0.0023436
    -0.50735     0.82703    -0.27906   0.0052841
    -0.50735     0.82703    -0.27906   0.0052841
    -0.66384     0.92502    -0.20223    0.012467
    -0.60079     0.90179    -0.26672    0.009352
    -0.42717     0.64746    -0.11788   0.0053015
    -0.37929     0.73436    -0.15338   0.0062434
    -0.50562     0.52017    -0.11021   0.0054841
    -0.73556     0.54347    -0.38331   0.0036205
    -0.49064     0.45259    0.014637   0.0065943
    -0.49064     0.45259    0.014637   0.0065943
    -0.49064     0.45259    0.014637   0.0065943
    -0.49064     0.45259    0.014637   0.0065943
    -0.31815     0.49489     0.32014   0.0086963
    -0.57948     0.76402    -0.31438   0.0040544
     -0.8472     0.50346    -0.27267   0.0067687
     -1.0066     0.58937    -0.26611   0.0047327
    -0.97187     0.50476    -0.19334   0.0050774
    -0.97187     0.50476    -0.19334   0.0050774
     -1.0097     0.52601    -0.19806   0.0040329
     -1.0097     0.52601    -0.19806   0.0040329
     -1.0097     0.52601    -0.19806   0.0040329
     -1.0097     0.52601    -0.19806   0.0040329
     -1.3062     0.59283     0.75952    0.019438
     -1.3062     0.59283     0.75952    0.019438
     -1.3062     0.59283     0.75952    0.019438
     -1.2621     0.60714     0.56911    0.017908
     -1.1314      0.6139    0.047031    0.010649
    -0.97798     0.79213   -0.052975    0.016727
    -0.84831       0.719     -0.3526   0.0079814
    -0.84831       0.719     -0.3526   0.0079814
    -0.74617     0.52497      -0.367   0.0046074
    -0.64073     0.38859     0.28843    0.014541
    -0.64904      0.3461     0.81547    0.019159
     -0.3968     0.49075     0.16007   0.0071688
    -0.49107     0.43361    0.075705   0.0074246
