#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
          75 -5.036476581905504624e+00 -5.025382562886038684e+00 1.651796717071765111e-03
          76 -5.021407489519815748e+00 -5.025330259289114032e+00 1.630890427597760008e-03
          77 -5.031244995650487439e+00 -5.025407074047054223e+00 1.611518000372678169e-03
          78 -5.014106516931431834e+00 -5.025262195109673868e+00 1.597356701712158945e-03
          79 -5.007258529073565612e+00 -5.025034300602887249e+00 1.593310891142494124e-03
          80 -5.033275131267625824e+00 -5.025137310986196759e+00 1.576720891034407487e-03
          81 -5.019194568960642755e+00 -5.025063943800695654e+00 1.558961209086456683e-03
          82 -5.030518626596816034e+00 -5.025130464322599799e+00 1.541368041459487961e-03
          83 -5.037492795793976796e+00 -5.025279408075267185e+00 1.529976701354812067e-03
          84 -5.047718797218853304e+00 -5.025546543660309950e+00 1.534906616061381106e-03
          85 -5.041180392826435153e+00 -5.025730471297558566e+00 1.527829159846977097e-03
          86 -5.043579781442542043e+00 -5.025938021415523593e+00 1.524095977025533444e-03
          87 -5.041702699111841213e+00 -5.026119224607435321e+00 1.517311223911434236e-03
          88 -5.044789289215109385e+00 -5.026331384432522142e+00 1.514829182214323146e-03
          89 -5.021178704351271449e+00 -5.026273489150709928e+00 1.498914571689049461e-03
          90 -5.018786104948169680e+00 -5.026190295992903678e+00 1.484566874628435963e-03
          91 -5.023473559643131026e+00 -5.026160441747301810e+00 1.468553102716885824e-03
          92 -5.008616557974481687e+00 -5.025969747358467465e+00 1.464919262726511627e-03
          93 -5.007660669369744078e+00 -5.025772875552137364e+00 1.462336495777816865e-03
          94 -5.033657016220183245e+00 -5.025856749389030931e+00 1.449183064159519649e-03
          95 -5.018539665896644131e+00 -5.025779727457531543e+00 1.435973847619286719e-03
          96 -5.027330314265541666e+00 -5.025795879403449185e+00 1.421106622946441281e-03
          97 -5.011526055466878127e+00 -5.025648767816473850e+00 1.414049962965166496e-03
          98 -5.030032604897376913e+00 -5.025693500847911999e+00 1.400328260710374893e-03
          99 -4.991994633577891527e+00 -5.025353108249224654e+00 1.426955334762398508e-03
         100 -5.015035170433290723e+00 -5.025249928871065919e+00 1.416411183663264083e-03
