#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          31 -3.378842681287545613e+00 -3.378251173891107850e+00 1.566545165805453973e-04
          32 -3.378018902159398706e+00 -3.378243915399492092e+00 1.519271286814346731e-04
          33 -3.378254100342503730e+00 -3.378244224034128607e+00 1.473235898593835719e-04
          34 -3.376964134488892988e+00 -3.378206574341621860e+00 1.477230637003262316e-04
          35 -3.378170502374433948e+00 -3.378205543713987513e+00 1.435060001865742037e-04
          36 -3.378833230145779964e+00 -3.378222979448204377e+00 1.405749377701192887e-04
          37 -3.377825756890568965e+00 -3.378212243703403228e+00 1.371849486592200199e-04
          38 -3.376130686148371751e+00 -3.378157465873007581e+00 1.440967708327699258e-04
          39 -3.377788527028816379e+00 -3.378148005902644080e+00 1.407121631770508685e-04
          40 -3.380001351310357727e+00 -3.378194339537837099e+00 1.446216709241217031e-04
          41 -3.378368690181659417e+00 -3.378198591992564115e+00 1.411568192467757804e-04
          42 -3.377156691308217606e+00 -3.378173784833412796e+00 1.399587962554539914e-04
          43 -3.378728114037850006e+00 -3.378186676210260142e+00 1.372963589332643986e-04
          44 -3.377262859158214336e+00 -3.378165680368168111e+00 1.357718753009541657e-04
          45 -3.378825760723376259e+00 -3.378180348820505774e+00 1.335447434871169317e-04
          46 -3.378794547504443635e+00 -3.378193700965808954e+00 1.313073909759558157e-04
          47 -3.378633849322062233e+00 -3.378203065824452178e+00 1.288471355296772652e-04
          48 -3.378698963057770843e+00 -3.378213397016812891e+00 1.265763293315430365e-04
          49 -3.378183539918722111e+00 -3.378212787688280372e+00 1.239946056595975265e-04
          50 -3.378779591979118369e+00 -3.378224123774097087e+00 1.220318086081440771e-04
          51 -3.378496203472681536e+00 -3.378229458670147789e+00 1.197555847755051944e-04
          52 -3.378092732476718929e+00 -3.378226829320273961e+00 1.174814541690417664e-04
          53 -3.379157935797421519e+00 -3.378244397367012652e+00 1.165709754339064888e-04
          54 -3.379556670261078200e+00 -3.378268698716902829e+00 1.169178479339128820e-04
          55 -3.378598714268299830e+00 -3.378274698999655268e+00 1.149459345961706413e-04
          56 -3.376907215504818094e+00 -3.378250279651533017e+00 1.154580440062901261e-04
          57 -3.378717471382817195e+00 -3.378258475997696131e+00 1.137230206960536849e-04
          58 -3.378453486608035128e+00 -3.378261838249598803e+00 1.118119707566192993e-04
          59 -3.378797291665103675e+00 -3.378270913731217462e+00 1.102845540106784955e-04
          60 -3.377801299461968831e+00 -3.378263086826729822e+00 1.087238614756698212e-04
          61 -3.378796158443964526e+00 -3.378271825705701392e+00 1.072921296547254752e-04
          62 -3.379600472296760749e+00 -3.378293255489428049e+00 1.076804646020221231e-04
          63 -3.377605818460593046e+00 -3.378282343790557363e+00 1.065226796089383741e-04
