#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
          91 2.139643354496760796e+00 2.128193286966917785e+00 6.423667116268383034e-03
          92 2.185054221775525107e+00 2.128811340606141744e+00 6.383508442735185730e-03
          93 2.146668228644928345e+00 2.129003350154945906e+00 6.317755634628859432e-03
          94 2.096281276217847100e+00 2.128655242985402207e+00 6.260128442672027727e-03
          95 2.213518740916204042e+00 2.129548542963620950e+00 6.257643283492578604e-03
          96 2.140113147035208385e+00 2.129658590922700157e+00 6.193427084581854154e-03
          97 2.189019767209913425e+00 2.130270561812259267e+00 6.159737461173302869e-03
          98 2.139257551874958807e+00 2.130362265792490550e+00 6.097565587193611546e-03
          99 2.303811912747969259e+00 2.132114282428404284e+00 6.282637895810532294e-03
         100 2.233710226483236916e+00 2.133130241868952837e+00 6.301421042443306440e-03
