#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
          58 1.108464616043705053e+00 1.097479042337594191e+00 1.259628917883538974e-03
          59 1.106183982277427091e+00 1.097626583692506763e+00 1.246890154747636644e-03
          60 1.096971489528756338e+00 1.097615665456444178e+00 1.226156453317129007e-03
          61 1.092339576541800916e+00 1.097529172195548464e+00 1.209102303246486826e-03
          62 1.091226948213531500e+00 1.097427523421644846e+00 1.193865794185496347e-03
          63 1.094814212526909580e+00 1.097386042296331743e+00 1.175635957952830086e-03
          64 1.106923434990781940e+00 1.097535064057182375e+00 1.166673297651857170e-03
          65 1.110252920872143001e+00 1.097730723392797092e+00 1.165015681677368129e-03
          66 1.095019336786289266e+00 1.097689641777547020e+00 1.148088025070835615e-03
          67 1.103650181548965215e+00 1.097778605057717627e+00 1.134393948884535866e-03
          68 1.112206339190726645e+00 1.097990777618496949e+00 1.137380582129015032e-03
          69 1.108115329580345643e+00 1.098137510255625227e+00 1.130322113291566677e-03
          70 1.091740897713473935e+00 1.098046130076451687e+00 1.117862338310076850e-03
          71 1.100789193372890162e+00 1.098084764770767663e+00 1.102785227466621500e-03
          72 1.108090861950366879e+00 1.098223738342706701e+00 1.096190551624262903e-03
          73 1.077827510975382985e+00 1.097944337967811768e+00 1.116213660060511471e-03
          74 1.097905609672988891e+00 1.097943814612476476e+00 1.101129814370936958e-03
          75 1.105079237278145499e+00 1.098038953581352173e+00 1.090550400448055601e-03
          76 1.095219679846380911e+00 1.098001857874312925e+00 1.076831784288848374e-03
          77 1.102582014893230378e+00 1.098061340433000188e+00 1.064488551454526727e-03
          78 1.091197454092816876e+00 1.097973341890177368e+00 1.054472296173942234e-03
          79 1.085728525059634464e+00 1.097818344208778107e+00 1.052454510104663780e-03
          80 1.103688585868793259e+00 1.097891722229528355e+00 1.041853677417488126e-03
          81 1.093255402607816285e+00 1.097834483715679932e+00 1.030562403414602562e-03
          82 1.101915733801144492e+00 1.097884255058185765e+00 1.019195722084275920e-03
          83 1.106017000484609270e+00 1.097982239942841387e+00 1.011615395378512696e-03
          84 1.112927389423887137e+00 1.098160158389044350e+00 1.015097542786725249e-03
          85 1.107737698132508664e+00 1.098272835327202879e+00 1.009389478600738544e-03
          86 1.109741185967902055e+00 1.098406188241629611e+00 1.006422632527458885e-03
          87 1.108407575098922182e+00 1.098521146711253671e+00 1.001398590068766983e-03
          88 1.111009906070458797e+00 1.098663064431244729e+00 1.000024754077004797e-03
          89 1.095272325212170328e+00 1.098624966237771838e+00 9.895139729720521266e-04
          90 1.093775005255320121e+00 1.098571077782411365e+00 9.799856443871478653e-04
          91 1.096334233340104047e+00 1.098546497074254003e+00 9.695247979051413011e-04
          92 1.087529400622051723e+00 1.098426746025860545e+00 9.663537234404346015e-04
          93 1.087177130577476891e+00 1.098305782418888654e+00 9.635039066402706657e-04
          94 1.103266519921827671e+00 1.098358556222111426e+00 9.546980554844067008e-04
          95 1.094235892206282479e+00 1.098315159758786796e+00 9.456343960974139757e-04
          96 1.099581744674372308e+00 1.098328353351657460e+00 9.358760724934554482e-04
          97 1.089119575250581784e+00 1.098233417494945297e+00 9.310305903640119169e-04
          98 1.100963675072814008e+00 1.098261277266148195e+00 9.219470160755735989e-04
          99 1.075528196663207092e+00 1.098031650189350783e+00 9.407962408612577333e-04
         100 1.090955781008206005e+00 1.097960891497539393e+00 9.340454216897346642e-04
