#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
          52 1.627350268783864795e+00 1.645587749211486761e+00 1.930269621820931850e-03
          53 1.675621631056901872e+00 1.646154426227437906e+00 1.975279631173479725e-03
          54 1.663817611885478609e+00 1.646481522258142371e+00 1.965596510469127048e-03
          55 1.626225344767742609e+00 1.646113228121953487e+00 1.964059009321238863e-03
          56 1.638508029474109673e+00 1.645977421003241847e+00 1.933676096291010163e-03
          57 1.643244183123591551e+00 1.645929469461493433e+00 1.900346415413454960e-03
          58 1.662696924065551141e+00 1.646218563506391286e+00 1.889443376819989907e-03
          59 1.659275973416142635e+00 1.646439875538759923e+00 1.870335232121958253e-03
          60 1.645457234293131510e+00 1.646423498184666157e+00 1.839234679969405572e-03
          61 1.638509364812699376e+00 1.646293758293322362e+00 1.813653454869228361e-03
          62 1.636840422320294142e+00 1.646141285132467047e+00 1.790798691274494590e-03
          63 1.642221318790364259e+00 1.646079063444497281e+00 1.763453936926497002e-03
          64 1.660385152486174354e+00 1.646302596085773340e+00 1.750009946475059638e-03
          65 1.665379381308220053e+00 1.646596085089195416e+00 1.747523522513852890e-03
          66 1.642529005179437451e+00 1.646534462666320309e+00 1.722132037602101904e-03
          67 1.655475272323456037e+00 1.646667907586576218e+00 1.701590923323395392e-03
          68 1.668309508786089301e+00 1.646986166427745646e+00 1.706070873183713338e-03
          69 1.662172994370521684e+00 1.647206265383438062e+00 1.695483169930232228e-03
          70 1.637611346570206905e+00 1.647069195114677642e+00 1.676793507457548195e-03
          71 1.651183790059339573e+00 1.647127147156151716e+00 1.654177841192842544e-03
          72 1.662136292925548764e+00 1.647335607514059941e+00 1.644285827435690815e-03
          73 1.616741266463076920e+00 1.646916506951717762e+00 1.674320490085317139e-03
          74 1.646858414509487112e+00 1.646915721918714492e+00 1.651694721558222235e-03
          75 1.657618855917213363e+00 1.647058430372027926e+00 1.635825600674345806e-03
          76 1.642829519769572588e+00 1.647002786811469166e+00 1.615247676432820557e-03
          77 1.653873022339850341e+00 1.647092010649500171e+00 1.596732827179984243e-03
          78 1.636796181139231310e+00 1.646960012835265941e+00 1.581708444261138539e-03
          79 1.628592787589455027e+00 1.646727516313167383e+00 1.578681765154102369e-03
          80 1.655532878803191554e+00 1.646837583344292755e+00 1.562780516124456266e-03
          81 1.639883103911720097e+00 1.646751725573520231e+00 1.545843605117470541e-03
          82 1.652873600701714629e+00 1.646826382587278870e+00 1.528793583121764279e-03
          83 1.659025500726911462e+00 1.646973359914262192e+00 1.517423093066226549e-03
          84 1.669391084135826819e+00 1.647240237583566635e+00 1.522646314177700895e-03
          85 1.661606547198761774e+00 1.647409252990804429e+00 1.514084217899382741e-03
          86 1.664611778951848420e+00 1.647609282362444416e+00 1.509633948791829850e-03
          87 1.662611362648388269e+00 1.647781720066880506e+00 1.502097885101663600e-03
          88 1.666514859105683088e+00 1.647994596646866983e+00 1.500037131116558654e-03
          89 1.642908487818256269e+00 1.647937449356657869e+00 1.484270959454296167e-03
          90 1.640662507882975074e+00 1.647856616673617047e+00 1.469978466576945305e-03
          91 1.644501350010147522e+00 1.647819745611381226e+00 1.454287196853517282e-03
          92 1.631294100933081914e+00 1.647640119038791040e+00 1.449530585154616040e-03
          93 1.630765695866210896e+00 1.647458673628333203e+00 1.445255859954211030e-03
          94 1.654899779882748501e+00 1.647537834333167472e+00 1.432047083217950203e-03
          95 1.641353838309428825e+00 1.647472739638180972e+00 1.418451594136440176e-03
          96 1.649372617011558129e+00 1.647492530027486746e+00 1.403814108732151077e-03
          97 1.633679362875873897e+00 1.647350126242418611e+00 1.396545885536797874e-03
          98 1.651445512609216237e+00 1.647391915899222958e+00 1.382920524101481988e-03
          99 1.613292294994809195e+00 1.647047475284026730e+00 1.411194361281754460e-03
         100 1.636433671512305121e+00 1.646941337246309534e+00 1.401068132525687361e-03
