#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               2.6419               2.6419                    0
           2               3.4954              3.06865             0.301758
           3               3.6802               3.2725               0.2611
           4               3.4576              3.31877             0.199884
           5               2.9655              3.24812             0.171942
           6                2.911              3.19193             0.152188
           7               3.0582              3.17283             0.131641
           8               3.5968              3.22582             0.125401
           9               3.9537               3.3067             0.135052
          10               2.7221              3.24824             0.133602
          11               3.2493              3.24834             0.121456
          12               2.8506              3.21519             0.115769
          13                3.048              3.20233             0.107576
          14               3.3093              3.20997             0.100163
          15               3.1255              3.20434            0.0936432
          16               2.3796              3.15279             0.100986
          17               2.2417               3.0992             0.108337
          18               4.1418              3.15712              0.11678
          19               2.8507              3.14099             0.111742
          20               2.6276              3.11532             0.109064
          21                1.751              3.05036             0.121692
          22               3.6231              3.07639             0.118912
          23               2.5296              3.05262             0.116094
          24               3.6548              3.07771             0.113936
          25               3.1163              3.07925             0.109389
          26               2.2252               3.0464             0.110003
          27               3.6858              3.07009             0.108448
          28               3.0665              3.06996             0.104575
          29               2.6821              3.05658             0.101821
          30               2.7825              3.04745            0.0988358
          31               2.9573              3.04454            0.0956903
          32               2.3153              3.02175             0.095375
          33                2.879              3.01742            0.0925829
          34               3.0384              3.01804            0.0898619
          35               4.2676              3.05374            0.0941196
          36               3.2551              3.05934            0.0916713
          37               2.5258              3.04492            0.0903207
          38               3.2537              3.05041            0.0881108
          39               3.6552              3.06592            0.0872055
          40               3.8123              3.08458            0.0869987
