#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.624504            -0.624504                    0
           2            -0.621912            -0.623208           0.00091641
           3            -0.624936            -0.623784          0.000770994
           4            -0.624968             -0.62408          0.000632519
           5            -0.625548            -0.624374          0.000570098
           6            -0.623576            -0.624241          0.000490335
           7            -0.624888            -0.624333          0.000428919
           8            -0.622896            -0.624154          0.000411207
           9            -0.621208            -0.623826          0.000478343
          10            -0.623708            -0.623814          0.000430655
          11            -0.625632             -0.62398          0.000422015
          12             -0.62466            -0.624036          0.000390637
          13            -0.624268            -0.624054          0.000360994
          14            -0.619348            -0.623718          0.000466147
          15              -0.6232            -0.623683          0.000436348
          16            -0.625176            -0.623777          0.000418929
          17            -0.623752            -0.623775          0.000394288
          18            -0.623804            -0.623777          0.000372387
          19            -0.624436            -0.623812            0.0003544
          20            -0.620668            -0.623654          0.000369896
          21             -0.62362            -0.623653          0.000352286
          22            -0.624364            -0.623685          0.000337753
          23            -0.624972            -0.623741           0.00032767
          24            -0.622596            -0.623693          0.000317471
          25            -0.624308            -0.623718          0.000305723
          26            -0.624848            -0.623761          0.000297038
          27            -0.622628            -0.623719          0.000288987
          28            -0.624932            -0.623763          0.000281893
          29            -0.623212            -0.623744          0.000272811
          30            -0.624132            -0.623757          0.000264024
          31            -0.624424            -0.623778          0.000256383
          32            -0.623716            -0.623776          0.000248379
          33            -0.621188            -0.623698          0.000252933
          34            -0.620848            -0.623614          0.000259009
          35            -0.623952            -0.623624          0.000251789
          36            -0.623976            -0.623633          0.000244985
          37            -0.623276            -0.623624          0.000238554
          38              -0.6232            -0.623613          0.000232537
          39            -0.625224            -0.623654          0.000230216
          40             -0.62564            -0.623704          0.000229752
