#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
          46 1.739788235090482749e+00 1.728955985859759625e+00 4.755694089024188609e-03
          47 1.723503988057041081e+00 1.728839985906510446e+00 4.655923617473372092e-03
          48 1.753240853923015319e+00 1.729348337323521001e+00 4.586593119969716373e-03
          49 1.735600182357264210e+00 1.729475925997678853e+00 4.494763442971594011e-03
          50 1.718578132099058298e+00 1.729257970119706389e+00 4.410149464673614184e-03
          51 1.758916680290359302e+00 1.729839513456385758e+00 4.361849963935424644e-03
          52 1.705681583881061725e+00 1.729374937887629526e+00 4.302637805260209856e-03
          53 1.727129271102560315e+00 1.729332566816212946e+00 4.221664583450694848e-03
          54 1.684831170806881717e+00 1.728508466890114503e+00 4.223154864128636499e-03
          55 1.658509516000130413e+00 1.727235758692114764e+00 4.333903735206796545e-03
          56 1.721963082153692870e+00 1.727141603753928667e+00 4.257535241801262832e-03
          57 1.759324776394805001e+00 1.727706220817803784e+00 4.220114189619606111e-03
          58 1.732389140844481590e+00 1.727786960818263662e+00 4.148125894503510228e-03
          59 1.701055834683679491e+00 1.727333890883779199e+00 4.102486846639201261e-03
          60 1.702573209978592850e+00 1.726921212868692823e+00 4.054815028867704042e-03
          61 1.737254777922367488e+00 1.727090615574490950e+00 3.991879749454295759e-03
          62 1.699784585665385039e+00 1.726650195737247317e+00 3.951715432868209768e-03
          63 1.726488392294537988e+00 1.726647627428632870e+00 3.888990625677692971e-03
          64 1.737877670216319226e+00 1.726823096847190486e+00 3.832181651217144054e-03
          65 1.776434714054830000e+00 1.727586352496538691e+00 3.848483300804951893e-03
          66 1.735832688554136194e+00 1.727711296982260114e+00 3.792200623155713140e-03
          67 1.665080308378135365e+00 1.726776506107571718e+00 3.849091272940668561e-03
          68 1.706276073636624924e+00 1.726475029159469488e+00 3.804275137590613573e-03
          69 1.811280482237840994e+00 1.727704093696837306e+00 3.942684744158843173e-03
          70 1.749785319087342250e+00 1.728019539773844482e+00 3.898959350508340253e-03
          71 1.690111888995995182e+00 1.727485629199508654e+00 3.880428216725999996e-03
          72 1.715732826824048596e+00 1.727322395833182922e+00 3.829965113651457014e-03
          73 1.780774599382747070e+00 1.728054617799615222e+00 3.846857097447132796e-03
          74 1.742413650464268438e+00 1.728248658781570191e+00 3.799763243120736923e-03
          75 1.719457643189411522e+00 1.728131445240341346e+00 3.750907175200615673e-03
          76 1.712294940692131506e+00 1.727923070180496401e+00 3.707336570523786078e-03
          77 1.719309769443643443e+00 1.727811209131965731e+00 3.660876538771294045e-03
          78 1.719481738133916915e+00 1.727704421042246974e+00 3.615499397667340780e-03
          79 1.727690550061851571e+00 1.727704245460216725e+00 3.569733586769631428e-03
          80 1.689791503506503423e+00 1.727230336185795467e+00 3.556430324396548000e-03
          81 1.817261062137151439e+00 1.728341826629639533e+00 3.682116552240942680e-03
          82 1.748952186825587285e+00 1.728593172485687557e+00 3.645781189463163322e-03
          83 1.752953531681432642e+00 1.728886670789250957e+00 3.613650630613073848e-03
          84 1.762653090692561486e+00 1.729288651978576175e+00 3.592919536613323195e-03
          85 1.691290155612585222e+00 1.728841610844858767e+00 3.578352878821960438e-03
          86 1.794189245930121190e+00 1.729601467066780307e+00 3.616521359190624004e-03
          87 1.708462281533036808e+00 1.729358487922714183e+00 3.583105234078876999e-03
          88 1.715077074023662940e+00 1.729196199128406830e+00 3.546061479834578412e-03
          89 1.707605399906957588e+00 1.728953605878727595e+00 3.514506443836684559e-03
          90 1.709022401534791458e+00 1.728732148052683604e+00 3.482426687744995773e-03
          91 1.699768834764775916e+00 1.728413869884684706e+00 3.458672278833712505e-03
          92 1.714011808839773110e+00 1.728257325742892148e+00 3.424618881318155540e-03
          93 1.754442413763461106e+00 1.728538885829134841e+00 3.399349756178901907e-03
          94 1.757330541463513196e+00 1.728845180038011353e+00 3.376957398177195084e-03
          95 1.732669615983881917e+00 1.728885437258494306e+00 3.341650425790728459e-03
          96 1.760569180087584007e+00 1.729215476246297234e+00 3.323099794003081964e-03
          97 1.713025715802292348e+00 1.729048571499451903e+00 3.293029812932671101e-03
          98 1.710653098024730312e+00 1.728860862586444336e+00 3.264772965682668799e-03
          99 1.734108089329308600e+00 1.728913864876776341e+00 3.232225667893004820e-03
         100 1.782669913451425892e+00 1.729451425362522832e+00 3.244297058560285680e-03
