#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          28 1.317099001428237992e+00 1.317045392916513347e+00 1.898034200642214630e-05
          29 1.317096739741337785e+00 1.317047163496679607e+00 1.840824679991949093e-05
          30 1.317231232671456143e+00 1.317053299135838795e+00 1.878936826796186375e-05
          31 1.317137517103900368e+00 1.317056015844485950e+00 1.837861122359574648e-05
          32 1.317204516256247571e+00 1.317060656482353487e+00 1.838083016769347615e-05
          33 1.317211499718401013e+00 1.317065227489506496e+00 1.838341784819783512e-05
          34 1.317143273904776590e+00 1.317067522972308558e+00 1.798547298403133370e-05
          35 1.317176143850074421e+00 1.317070626425959068e+00 1.773733697191695971e-05
          36 1.317223436188507124e+00 1.317074871141585390e+00 1.774526678291483471e-05
          37 1.317187436947931056e+00 1.317077913460675820e+00 1.752451810576090708e-05
          38 1.317185068153217120e+00 1.317080733321005726e+00 1.728872933246655957e-05
          39 1.317161558056161974e+00 1.317082805750112495e+00 1.696918634313164607e-05
          40 1.317275037924733772e+00 1.317087611554477844e+00 1.721202968285763654e-05
          41 1.317129246151595323e+00 1.317088627032456438e+00 1.682215273283461853e-05
          42 1.317203460848482166e+00 1.317091361170933173e+00 1.664233491789407146e-05
          43 1.317160316966960343e+00 1.317092964794096543e+00 1.633238217192418528e-05
          44 1.317044723470170764e+00 1.317091868400370958e+00 1.599794986664616333e-05
          45 1.317077456425274518e+00 1.317091548134257772e+00 1.564564495697834062e-05
          46 1.317209106557736265e+00 1.317094103752159295e+00 1.551284068067949927e-05
          47 1.317167402705277768e+00 1.317095663304353348e+00 1.526097184846693922e-05
          48 1.317146793729994991e+00 1.317096728521554239e+00 1.498016493671651197e-05
          49 1.317162216925341633e+00 1.317098065019590925e+00 1.473394594032971930e-05
          50 1.317088963225039544e+00 1.317097882983699897e+00 1.444039140780773116e-05
          51 1.317068743570622091e+00 1.317097311622659195e+00 1.416854528748040026e-05
          52 1.317105970857651798e+00 1.317097478146409095e+00 1.389705176438905943e-05
