#   N_BLOCK:  ACCEPTANCE:
           1     0.285587
           2     0.285449
           3     0.285461
           4     0.285337
           5     0.285294
           6     0.285349
           7     0.285426
           8      0.28545
           9     0.285493
          10     0.285551
          11     0.285549
          12     0.285574
          13     0.285599
          14     0.285595
          15     0.285527
          16     0.285475
          17     0.285501
          18     0.285536
          19     0.285554
          20     0.285575
          21     0.285526
          22     0.285529
          23     0.285475
          24      0.28548
          25     0.285456
          26     0.285477
          27     0.285493
          28     0.285553
          29     0.285518
          30      0.28549
