#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              268.285              268.285                    0
           2              266.674               267.48             0.569446
           3              265.801               266.92             0.593941
           4              270.602              267.841             0.913033
           5              271.413              268.555             0.970561
           6              263.486               267.71              1.11757
           7              268.177              267.777               0.9599
           8              268.845              267.911             0.849148
           9              265.532              267.646             0.794862
          10              263.409              267.223             0.820581
          11              273.718              267.813             0.934582
          12               266.14              267.674             0.867036
          13              265.921              267.539             0.810759
          14              272.475              267.891             0.825966
          15              263.648              267.608             0.817902
          16              269.797              267.745             0.778138
          17               267.37              267.723             0.732678
          18              268.879              267.787             0.694781
          19              274.979              268.166             0.754297
          20              272.019              268.359              0.74078
          21              267.991              268.341             0.705712
          22              267.067              268.283             0.676006
          23              272.536              268.468             0.671425
          24              268.211              268.457             0.643534
          25              270.056              268.521             0.620961
          26               268.45              268.518             0.597084
          27               271.06              268.613             0.582344
          28              261.204              268.348             0.618738
          29               267.33              268.313             0.598398
          30              271.839               268.43              0.58988
