#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              5.66038              5.66038                    0
           2              5.05882               5.3596             0.212684
           3               5.2511              5.32343             0.144831
           4               5.5235              5.37345             0.116942
           5              5.34184              5.36713             0.093724
           6              5.25352              5.34819            0.0799931
           7              5.39466              5.35483            0.0688404
           8              4.81514              5.28737             0.087238
           9              5.19786              5.27742            0.0781097
          10              5.60592              5.31027            0.0768967
          11              5.80652              5.35539            0.0820795
          12              5.35446              5.35531            0.0752396
          13              5.09118              5.33499            0.0721431
          14              5.47996              5.34535            0.0677291
          15              5.66794              5.36685            0.0665407
          16              5.21918              5.35762            0.0630188
          17              4.92226              5.33201            0.0643052
          18               5.5096              5.34188            0.0614849
          19              5.55918              5.35332             0.059303
          20              5.18554              5.34493            0.0569281
          21              5.41688              5.34835            0.0543202
          22              5.47398              5.35406            0.0521504
          23                4.888               5.3338            0.0536756
          24              5.37962              5.33571            0.0514731
          25              5.41222              5.33877            0.0495051
          26              5.49496              5.34478            0.0479641
          27              5.69108               5.3576            0.0478719
          28               5.3016               5.3556            0.0462039
          29              5.60662              5.36426            0.0454142
          30              5.43862              5.36674             0.043968
