#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              111.752              111.752                    0
           2              105.128               108.44              2.34188
           3              107.881              108.254              1.56864
           4              107.454              108.054              1.18917
           5              110.547              108.552              1.05067
           6               105.27              108.005              1.00794
           7              109.671              108.243             0.891591
           8              109.544              108.406             0.794829
           9              108.254              108.389             0.706694
          10              107.767              108.327             0.638755
          11              107.224              108.226             0.588494
          12               111.63               108.51             0.603956
          13               107.25              108.413             0.565221
          14              108.416              108.413             0.524848
          15              104.844              108.175              0.54111
          16              103.218              107.866             0.589373
          17              107.465              107.842             0.555176
          18              111.953               108.07              0.56937
          19              111.028              108.226             0.560276
          20              105.243              108.077             0.551756
          21              108.315              108.088             0.525598
          22              106.315              108.008             0.507848
          23              107.842                  108             0.485819
          24              106.529              107.939             0.469431
          25              107.882              107.937             0.450659
          26              105.751              107.853             0.441095
          27              107.033              107.822             0.425803
          28              108.747              107.855             0.411874
          29              107.069              107.828             0.398563
          30               109.33              107.878             0.388408
          31                108.1              107.885             0.375945
          32              106.642              107.847             0.366198
          33              107.437              107.834             0.355311
          34              108.317              107.848             0.345145
          35              106.437              107.808             0.337632
          36              112.417              107.936             0.351686
          37              104.724              107.849             0.352734
          38              105.971                107.8             0.346897
          39              107.477              107.792             0.338101
          40              107.328               107.78             0.329847
