#   N_BLOCK:  ACCEPTANCE:
           1     0.445254
           2     0.447044
           3     0.446831
           4     0.446909
           5     0.447116
           6     0.447384
           7      0.44708
           8     0.447099
           9     0.447262
          10     0.447096
          11     0.447103
          12      0.44708
          13     0.447061
          14     0.447043
          15     0.447148
          16     0.447192
          17     0.447238
          18      0.44718
          19     0.446994
          20     0.447029
          21      0.44697
          22      0.44694
          23     0.446938
          24      0.44696
          25     0.446968
          26     0.447071
          27     0.447199
          28     0.447132
          29     0.447101
          30     0.447143
          31     0.447175
          32     0.447158
          33     0.447138
          34     0.447159
          35     0.447176
          36     0.447138
          37     0.447112
          38     0.447095
          39     0.447073
          40     0.447065
