#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               1.8378               1.8378                    0
           2               2.3051              2.07145             0.165215
           3               2.1212              2.08803             0.110973
           4                1.791              2.01377              0.10518
           5               2.1154               2.0341            0.0860856
           6               2.0697              2.04003            0.0719422
           7               2.0268              2.03814            0.0616896
           8               2.0764              2.04293            0.0541634
           9               2.0163              2.03997             0.048226
          10               2.0035              2.03632             0.043541
          11               2.0728              2.03964            0.0397089
          12               1.9714              2.03395            0.0368047
          13               2.5271              2.07188            0.0498251
          14                 2.13              2.07604            0.0464388
          15               1.6074              2.04479            0.0528168
          16               2.4806              2.07203            0.0561012
          17               1.6602              2.04781            0.0577954
          18               2.5501              2.07571            0.0609501
          19               2.2434              2.08454            0.0583777
          20               2.4151              2.10107            0.0577512
          21               2.2526              2.10828            0.0554501
          22                 2.45              2.12381            0.0550622
          23               2.0926              2.12246            0.0526849
          24               1.9698               2.1161            0.0508722
          25               2.4046              2.12764            0.0501292
          26               2.5178              2.14264            0.0503972
          27               1.7946              2.12975            0.0501521
          28               2.0104              2.12549            0.0485417
          29               2.3104              2.13187            0.0472848
          30               2.0573              2.12938            0.0457739
          31               2.2065              2.13187            0.0443649
          32               2.4443              2.14163            0.0440397
          33               2.4051              2.14962            0.0434229
          34               2.4159              2.15745            0.0428462
          35               2.2181              2.15918            0.0416571
          36               2.4477              2.16719            0.0412637
          37               2.2811              2.17027            0.0402631
          38                2.187              2.17071             0.039206
          39               1.6159              2.15649            0.0406999
          40               2.3457              2.16122            0.0399563
