#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              13.4598              13.4598                    0
           2              13.4455              13.4527           0.00505485
           3              13.4227              13.4427           0.00882016
           4               13.407              13.4338            0.0101708
           5              13.4274              13.4325           0.00821673
           6              13.4846              13.4412            0.0104733
           7              13.4074              13.4363             0.010026
           8              13.5134               13.446            0.0125721
           9              13.5105              13.4531            0.0130596
          10              13.3984              13.4477            0.0128509
          11              13.4846               13.451            0.0121123
          12              13.6521              13.4678            0.0195106
          13              13.5195              13.4718            0.0184109
          14              13.5791              13.4794            0.0186236
          15              13.4374              13.4766            0.0175918
          16              13.4761              13.4766            0.0164923
          17              13.3737              13.4705            0.0165962
          18              13.2863              13.4603            0.0185625
          19              13.4661              13.4606            0.0175881
          20              13.5333              13.4642              0.01708
          21              13.5352              13.4676            0.0165978
          22              13.2903              13.4596            0.0176929
          23              13.3816              13.4562            0.0172449
          24              13.5838              13.4615            0.0173275
          25              13.4184              13.4598            0.0167198
          26              13.7361              13.4704            0.0191595
          27              13.3131              13.4646            0.0193148
          28              13.4679              13.4647            0.0186254
          29               13.332              13.4601            0.0185368
          30              13.4126              13.4585            0.0179865
          31              13.3109              13.4538            0.0180259
          32              13.5814              13.4578            0.0178985
          33              13.2565              13.4517            0.0183658
          34              13.4155              13.4506            0.0178564
          35              13.5986              13.4548            0.0178399
          36              13.4558              13.4548            0.0173443
          37              13.5909              13.4585            0.0172612
          38              13.4997              13.4596            0.0168409
          39              13.5382              13.4616            0.0165293
          40              13.4888              13.4623            0.0161301
