#   N_BLOCK:  ACCEPTANCE:
           1    0.0564657
           2    0.0567468
           3    0.0592852
           4    0.0599385
           5    0.0598721
           6    0.0583136
           7    0.0583383
           8    0.0578602
           9    0.0575924
          10    0.0570632
          11    0.0573021
          12    0.0573381
          13    0.0569346
          14    0.0574022
          15    0.0574649
          16    0.0568445
          17    0.0564741
          18    0.0567377
          19    0.0565851
          20    0.0566132
          21    0.0563028
          22    0.0562768
          23    0.0562733
          24    0.0562075
          25    0.0563143
          26    0.0562917
          27    0.0564161
          28    0.0563687
          29    0.0564928
          30    0.0564813
          31     0.056744
          32    0.0568435
          33    0.0568035
          34     0.056786
          35    0.0566071
          36    0.0566344
          37    0.0566229
          38     0.056379
          39    0.0564204
          40    0.0564486
