#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              239.991              239.991                    0
           2              244.436              242.214              1.57164
           3              245.521              243.316               1.3813
           4              239.518              242.366              1.32265
           5               246.72              243.237              1.31385
           6              246.462              243.775               1.1998
           7              249.964              244.659              1.31438
           8              246.788              244.925              1.17671
           9              248.099              245.278              1.09754
          10              239.706              244.721               1.1203
          11              243.115              244.575              1.02792
          12              243.285              244.467             0.947862
          13              245.079              244.514             0.876117
          14              251.759              245.032               0.9542
          15              245.357              245.053             0.890834
          16              242.189              244.874              0.85295
          17              243.783               244.81             0.805187
          18              245.195              244.832             0.760738
          19              246.239              244.906             0.724298
          20              246.183               244.97             0.690895
          21              246.647              245.049             0.662596
          22              245.723               245.08             0.633185
          23              242.536              244.969             0.615244
          24              244.327              244.943             0.590191
          25               251.83              245.218             0.627596
          26              246.865              245.281             0.606645
          27              246.049               245.31             0.584842
          28              252.502              245.567             0.617794
          29              243.633                245.5             0.600077
          30              247.707              245.574             0.584566
