#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              19.0287              19.0287                    0
           2               19.242              19.1353            0.0754279
           3              19.0592                19.11            0.0543842
           4              19.0707              19.1002            0.0416654
           5              19.0917              19.0985            0.0333664
           6              19.0768              19.0949            0.0279997
           7              19.1922              19.1088             0.027237
           8              19.2485              19.1262            0.0288927
           9              19.1729              19.1314            0.0261437
          10              19.1984              19.1381            0.0243733
          11              19.0788              19.1327            0.0227459
          12              19.0926              19.1294            0.0210949
          13              19.1839              19.1336             0.019885
          14              19.1506              19.1348            0.0185016
          15              19.2536              19.1427            0.0188881
          16              19.1758              19.1448            0.0178203
          17              19.3756              19.1584            0.0213272
          18               19.031              19.1513            0.0212837
          19              19.3914              19.1639            0.0236192
          20                19.26              19.1687            0.0229212
          21              19.1305              19.1669            0.0219021
          22              19.2174              19.1692            0.0210265
          23              19.0764              19.1652            0.0204958
          24              19.4146              19.1756            0.0221206
          25               19.227              19.1776            0.0213312
          26              19.1497              19.1765            0.0205379
          27              19.0382              19.1714            0.0204063
          28              19.2474              19.1741            0.0198572
          29              19.4082              19.1822            0.0207478
          30              19.0716              19.1785            0.0203809
