#   N_BLOCK:  ACCEPTANCE:
           1     0.417139
           2      0.41735
           3     0.417166
           4     0.417198
           5     0.417211
           6     0.417137
           7     0.417116
           8     0.417153
           9      0.41707
          10      0.41715
          11     0.417151
          12      0.41712
          13      0.41714
          14     0.417183
          15     0.417201
          16     0.417178
          17      0.41716
          18     0.417199
          19      0.41723
          20     0.417228
          21     0.417226
          22     0.417168
          23     0.417163
          24     0.417159
          25     0.417155
          26     0.417188
          27     0.417179
          28     0.417163
          29     0.417153
          30     0.417155
