#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.51678              2.51678                    0
           2               2.5263              2.52154           0.00336583
           3              2.79442               2.6125            0.0743024
           4              2.65098              2.62212            0.0563461
           5              2.53982              2.60566            0.0474202
           6              2.56402              2.59872            0.0400214
           7              2.73738              2.61853            0.0388985
           8              2.45634              2.59826            0.0389629
           9              2.68446              2.60783            0.0357916
          10              2.57686              2.60474            0.0323462
          11              2.37438              2.58379            0.0355439
          12              2.33732              2.56326            0.0380565
          13              2.58638              2.56503            0.0351706
          14                2.509              2.56103            0.0328854
          15              2.66062              2.56767            0.0313561
          16              2.65788              2.57331            0.0298989
          17              2.60606              2.57524            0.0282021
          18              2.47388               2.5696            0.0271917
          19              2.63732              2.57317             0.025993
          20              2.57038              2.57303            0.0246938
          21              2.49192              2.56917             0.023818
          22               2.7114              2.57563            0.0235965
          23               2.5027              2.57246            0.0227826
          24              2.42442              2.56629             0.022653
          25              2.67346              2.57058            0.0221488
          26              2.76754              2.57815            0.0225552
          27              2.48934              2.57487            0.0219584
          28              2.67838              2.57856            0.0214831
          29              2.42256              2.57318            0.0214052
          30              2.49264               2.5705            0.0208594
