#   N_BLOCK:  ACCEPTANCE:
           1     0.486453
           2      0.48698
           3     0.486789
           4     0.486609
           5     0.486729
           6      0.48709
           7     0.486908
           8     0.486945
           9     0.487182
          10     0.487043
          11      0.48712
          12     0.487117
          13     0.487032
          14     0.487031
          15     0.487117
          16     0.486991
          17     0.486966
          18     0.486948
          19      0.48686
          20     0.486834
          21      0.48682
          22     0.486783
          23     0.486857
          24     0.486874
          25     0.486887
          26     0.486878
          27     0.486924
          28     0.486869
          29     0.486796
          30     0.486799
          31     0.486793
          32     0.486784
          33     0.486759
          34     0.486781
          35     0.486794
          36     0.486744
          37     0.486715
          38     0.486721
          39     0.486724
          40     0.486701
