#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              11.8197              11.8197                    0
           2              11.7209              11.7703            0.0349318
           3              11.9221              11.8209            0.0474396
           4              11.6397              11.7756            0.0529634
           5              11.7673              11.7739            0.0423969
           6              11.9212              11.7985            0.0418337
           7              11.9042              11.8136            0.0384885
           8               12.005              11.8375            0.0404345
           9              11.7374              11.8264            0.0374406
          10              11.8449              11.8282            0.0337423
          11              11.5761              11.8053            0.0376654
          12              12.1102              11.8307            0.0422373
          13              11.7944              11.8279            0.0390805
          14              11.8684              11.8308            0.0363957
          15              11.7618              11.8262            0.0342592
          16              11.7606              11.8221            0.0323627
          17              11.5851              11.8082            0.0333275
          18              11.5792              11.7955            0.0338167
          19              11.7958              11.7955            0.0320369
          20              11.7134              11.7914            0.0306969
          21              11.9088               11.797            0.0297398
          22                12.19              11.8148            0.0333249
          23              11.7628              11.8126            0.0319527
          24              11.7807              11.8112            0.0306488
          25              11.9553               11.817              0.02996
          26              12.0834              11.8272            0.0305093
          27              11.6571              11.8209            0.0300234
          28               11.722              11.8174            0.0291582
          29              11.8468              11.8184            0.0281704
          30              12.0292              11.8254             0.028094
          31              11.8164              11.8252            0.0271892
          32              11.8659              11.8264            0.0263694
          33              11.8132               11.826            0.0255734
          34              11.8331              11.8262            0.0248221
          35              12.0862              11.8337            0.0251995
          36              11.7878              11.8324            0.0245317
          37              11.8763              11.8336            0.0238973
          38              11.6739              11.8294            0.0236352
          39              12.1201              11.8368            0.0241759
          40              11.8942              11.8383            0.0236141
