#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              740.367              740.367                    0
           2              696.652              718.509              15.4557
           3               751.42               729.48              13.6528
           4              776.498              741.234              14.4388
           5              699.141              732.816              13.7886
           6              749.301              735.563              11.7611
           7              781.408              742.112              11.7639
           8              714.696              738.685               10.781
           9               711.34              735.647              10.0021
          10               744.69              736.551               9.0427
          11              662.691              729.837              10.4195
          12              707.497              727.975              9.71608
          13              728.068              727.982              8.96869
          14              685.795              724.969              8.81979
          15              695.561              723.008              8.44689
          16              738.835              723.998              7.97667
          17              678.208              721.304              7.94922
          18              761.193               723.52              7.81039
          19               735.15              724.132              7.42326
          20              734.972              724.674              7.07186
          21              776.291              727.132               7.1495
          22              638.066              723.084              7.88792
          23              682.082              721.301              7.74379
          24              694.638               720.19               7.5004
          25              735.998              720.822              7.22699
          26              752.423              722.038              7.05049
          27              731.829                722.4              6.79868
          28              677.857               720.81              6.73942
          29              716.371              720.657              6.50876
          30              669.503              718.951              6.51133
          31              709.774              718.655              6.30801
          32              693.036              717.855              6.16148
          33              723.434              718.024              5.97709
          34              699.908              717.491              5.82499
          35              738.509              718.092              5.68943
          36              700.135              717.593              5.55322
          37              740.604              718.215              5.43784
          38              739.319               718.77              5.32303
          39              720.188              718.806              5.18667
          40              700.961               718.36              5.07615
