#   N_BLOCK:  ACCEPTANCE:
           1     0.158539
           2      0.15888
           3     0.158513
           4     0.157907
           5     0.158131
           6     0.157702
           7     0.157361
           8     0.157699
           9     0.157924
          10     0.157762
          11     0.157989
          12     0.157844
          13     0.157678
          14     0.157814
          15     0.157995
          16      0.15787
          17     0.157903
          18     0.157859
          19     0.157753
          20     0.157839
          21     0.157766
          22     0.157926
          23      0.15814
          24     0.158192
          25     0.158119
          26     0.158101
          27      0.15803
          28     0.158138
          29      0.15821
          30     0.158253
          31     0.158283
          32     0.158287
          33     0.158259
          34     0.158298
          35     0.158292
          36     0.158285
          37     0.158238
          38     0.158223
          39     0.158191
          40     0.158268
