     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.66785     0.66115    -0.38351   0.0030056
    -0.56674      0.9597    -0.21493    0.013379
    -0.39667     0.99999    -0.24163   0.0090976
    -0.46369     0.80174    -0.25185   0.0050968
    -0.23866     0.68752    0.015988   0.0066158
     -0.1106     0.91714    -0.22295   0.0048529
  -0.0060867     0.89084    -0.20874   0.0051416
     0.24469     0.97192    -0.25683   0.0074071
     0.24469     0.97192    -0.25683   0.0074071
     0.34436     0.75559     -0.1573   0.0058082
    0.070016      1.0351    -0.23805    0.011055
     0.15537      1.2213   -0.057365    0.021427
    0.014936      1.0723    -0.23592     0.01133
    0.071185     0.83301    -0.15939   0.0055305
     -0.1374     0.71929    0.011148   0.0058253
     -0.1374     0.71929    0.011148   0.0058253
   -0.086615     0.95972    -0.24472   0.0074796
     0.18291     0.91804    -0.23856   0.0053615
   -0.025908       1.134    -0.17389    0.017146
   -0.025908       1.134    -0.17389    0.017146
   -0.025908       1.134    -0.17389    0.017146
     0.24414      1.1401    -0.14148    0.015401
     0.14405       1.255     0.07086    0.026697
     0.14405       1.255     0.07086    0.026697
     0.39864      1.2944     0.38826    0.040514
     0.16816      1.3696     0.48633    0.036677
     0.16816      1.3696     0.48633    0.036677
     0.43881      1.1851     0.05081    0.019551
     0.20099      1.3486     0.48303    0.053387
   -0.040832      1.4804     0.97229    0.060716
   -0.034768      1.4101     0.69622    0.054203
     0.21573      1.2515     0.10257    0.033223
     0.12236      1.1765    -0.10298    0.021406
     0.41391      1.0208    -0.20976    0.012571
      0.6581     0.83082    -0.29973   0.0073291
     0.41579      1.1089   -0.091561    0.018444
     0.61907      1.1472     0.20792    0.028932
      0.5307       1.259     0.43949    0.037472
     0.63445       1.168     0.31872    0.036394
     0.37871      1.4573      1.1005    0.073083
     0.37871      1.4573      1.1005    0.073083
     0.37871      1.4573      1.1005    0.073083
      0.2403      1.2263    0.035298     0.02066
   -0.010847      1.0092    -0.24171   0.0077617
    0.023861      0.7916   -0.091243   0.0058866
    0.023861      0.7916   -0.091243   0.0058866
   -0.058413     0.94564    -0.24376   0.0044794
    -0.19892      1.0453    -0.23804   0.0075372
    -0.11611     0.89266    -0.20931   0.0043659
    0.048742     0.88881     -0.2018   0.0050019
    -0.14618      1.0908    -0.21532   0.0099204
    -0.33056     0.96029     -0.2502    0.010147
    -0.24922     0.89523    -0.22164   0.0054869
    -0.36531      1.1812    0.038212     0.02368
    -0.35702        1.24    0.094384    0.027484
    -0.56199      1.0103    -0.14428     0.01845
    -0.56199      1.0103    -0.14428     0.01845
    -0.31196      1.0073    -0.23716   0.0080251
    -0.19888     0.78722    -0.11448   0.0063585
    -0.33847     0.86389    -0.23581   0.0061355
    -0.26033     0.86652    -0.21953   0.0049906
   -0.061337      1.0298    -0.23839   0.0084879
   -0.044266      1.1684    -0.14541    0.015172
   -0.010862     0.92953    -0.24257    0.005144
    -0.21247      1.0161    -0.24295   0.0083598
    -0.21247      1.0161    -0.24295   0.0083598
    -0.37054     0.85031    -0.23769    0.004753
    -0.44549      1.0227    -0.20987    0.011465
    -0.59955     0.81423    -0.31065   0.0052518
    -0.57271     0.76165    -0.30562   0.0038143
    -0.63742     0.95411     -0.1483    0.014833
    -0.40793      1.1416   -0.025306     0.02566
    -0.23826      1.0451    -0.23278    0.010999
    -0.39476       1.143   -0.057994    0.019672
     -0.3317      1.1198    -0.16711    0.015053
    -0.15808     0.86548     -0.1997   0.0049527
     -0.1102     0.95238     -0.2285   0.0069683
    -0.23653     0.73819   -0.065815   0.0063178
    -0.46647     0.76149    -0.24249    0.004346
    -0.22155     0.67061    0.064934    0.006521
    0.038344      0.5015     0.71124    0.014349
    0.038344      0.5015     0.71124    0.014349
    -0.24543     0.45236     0.61918    0.012092
   -0.072937     0.49466     0.72764    0.012809
    -0.33427     0.76378    -0.16424   0.0049318
    -0.60199     0.50323    -0.22999   0.0056765
    -0.76143     0.58913    -0.43436   0.0020843
    -0.72665     0.50452    -0.29965   0.0056686
    -0.72665     0.50452    -0.29965   0.0056686
    -0.76444     0.52578     -0.3664   0.0048396
    -0.76444     0.52578     -0.3664   0.0048396
    -0.76444     0.52578     -0.3664   0.0048396
    -0.76444     0.52578     -0.3664   0.0048396
      -1.061      0.5926    -0.15977   0.0066105
      -1.061      0.5926    -0.15977   0.0066105
      -1.061      0.5926    -0.15977   0.0066105
     -1.0169      0.6069    -0.23921   0.0075277
     -0.8862     0.61366    -0.41992   0.0033644
    -0.73276      0.7919    -0.32515   0.0084364
    -0.60309     0.71877    -0.32397   0.0039174
    -0.76656      1.0138       0.089    0.025004
    -0.66442     0.81979    -0.28884   0.0076448
    -0.55898     0.68342    -0.29825   0.0043313
    -0.56729     0.64093    -0.28252   0.0038475
    -0.31505     0.78557    -0.16626   0.0053857
    -0.40932     0.72843    -0.17301   0.0051766
    -0.34293     0.75597    -0.15692   0.0050141
    -0.47275     0.63946    -0.16556   0.0048199
    -0.37098     0.43129     0.32154   0.0070787
   -0.099963     0.59486     0.33709   0.0085163
   -0.099963     0.59486     0.33709   0.0085163
    -0.39854     0.55365    0.039353   0.0070737
     -0.3903     0.54882    0.063921   0.0066517
     -0.3903     0.54882    0.063921   0.0066517
     -0.3903     0.54882    0.063921   0.0066517
    -0.44487     0.58109   -0.062876    0.005225
    -0.44487     0.58109   -0.062876    0.005225
    -0.31266     0.62361    0.053517   0.0068313
    -0.26454     0.83929    -0.19427   0.0041362
    -0.12903      1.0832    -0.20215    0.013212
   -0.039625      1.2747    0.069396    0.025807
   0.0011238      1.1621    -0.14063     0.01584
    0.089285      1.2777     0.13061    0.032508
      0.3647      1.0208     -0.2379    0.010765
      0.3647      1.0208     -0.2379    0.010765
    0.073763      1.1449    -0.16928    0.013963
    -0.12616      1.0113    -0.22678   0.0098463
    -0.29629        1.18   -0.021449    0.024553
     -0.1247      1.3297     0.37134    0.046555
    -0.38209      1.2078    0.036479    0.025026
    -0.38209      1.2078    0.036479    0.025026
    -0.58802     0.98154    -0.18411    0.014526
    -0.63075     0.69404    -0.35776   0.0028031
    -0.59784     0.76221    -0.32546   0.0044588
    -0.41042     0.52775    0.054983   0.0063787
    -0.20923     0.77706    -0.11144   0.0063548
    -0.31724     0.54141     0.21291   0.0078413
    -0.33688     0.75899    -0.15585    0.005375
    -0.39912     0.60287   -0.030256   0.0067459
    -0.39912     0.60287   -0.030256   0.0067459
     -0.5275      0.3693     0.37804    0.013255
    -0.70322     0.37433     0.50917    0.016552
     -0.5136     0.48438   -0.073582   0.0055758
    -0.38589     0.60458  -0.0018254   0.0064538
    -0.38589     0.60458  -0.0018254   0.0064538
    -0.12292     0.61915     0.24209   0.0087909
     0.13978     0.80524    -0.12364   0.0058631
      0.2436     0.69872  -0.0076035    0.006574
      0.2436     0.69872  -0.0076035    0.006574
     0.14127     0.66215     0.11142   0.0067575
     0.33327     0.88738     -0.2427   0.0057544
     0.48434      1.0279    -0.17736    0.015314
     0.48434      1.0279    -0.17736    0.015314
     0.56997      1.0197    -0.13692    0.017663
     0.72092     0.85007    -0.25542    0.010639
     0.45964     0.57325   -0.090218   0.0050494
     0.40149     0.44886     0.19821   0.0066836
     0.38927     0.46498     0.23445   0.0065768
     0.56898     0.41345    0.066518    0.011022
     0.56898     0.41345    0.066518    0.011022
     0.31611     0.64317    0.021347   0.0062032
     0.50907     0.36877     0.36612    0.013454
     0.30626      0.3323     0.82963    0.011914
     0.30626      0.3323     0.82963    0.011914
     0.30626      0.3323     0.82963    0.011914
     0.53631     0.45186   -0.040833   0.0064612
     0.28408     0.72535   -0.083409   0.0050105
     0.26795     0.88524     -0.2301   0.0050775
     0.12467     0.99855     -0.2426    0.008913
     0.12467     0.99855     -0.2426    0.008913
     0.20252     0.89388    -0.21329   0.0051557
     0.43967     0.99976    -0.21125    0.010006
     0.66022       1.199      0.4808    0.040092
       0.512      1.0846   -0.059239    0.020429
     0.61953      1.2431     0.48905    0.040073
     0.61953      1.2431     0.48905    0.040073
     0.61953      1.2431     0.48905    0.040073
      0.7325       1.227     0.75363    0.055907
      0.7325       1.227     0.75363    0.055907
      0.7325       1.227     0.75363    0.055907
     0.63026      1.2179     0.42753    0.036708
      0.3707      1.2624     0.22697    0.029012
      0.3707      1.2624     0.22697    0.029012
     0.49381      1.1157   -0.010179    0.019908
     0.66762     0.92272    -0.19977    0.014434
     0.66762     0.92272    -0.19977    0.014434
     0.38601     0.91697    -0.25938   0.0069606
      0.4649     0.99191    -0.20702    0.010764
      0.5472     0.95054    -0.20592    0.013716
     0.40117      1.0936    -0.13561    0.014629
      0.2067      1.0923    -0.20476     0.01241
     0.28843      1.3293     0.33979    0.029689
     0.28843      1.3293     0.33979    0.029689
