#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              3212.76              3212.76                    0
           2              3254.99              3233.88               14.928
           3              3218.06               3228.6              10.8431
           4              3059.66              3186.37              37.4708
           5              3167.16              3182.53              30.1728
           6              3232.93              3190.93              26.2876
           7              3008.89              3164.92              32.9756
           8              3323.93               3184.8              34.3252
           9              3264.72              3193.68              31.6392
          10              3328.17              3207.13              31.2032
          11              3118.06              3199.03              29.3983
          12              3212.47              3200.15              26.9698
          13              3232.87              3202.67              25.0123
          14              3192.73              3201.96              23.2358
          15              3272.46              3206.66               22.157
          16              3195.26              3205.95              20.7837
          17              3306.22              3211.84              20.3809
          18              3305.87              3217.07              19.9068
          19              3277.89              3220.27              19.1147
          20               3231.3              3220.82              18.1669
          21              3179.59              3218.86              17.4075
          22              3166.41              3216.47              16.7787
          23              3186.44              3215.17              16.0999
          24              3165.41              3213.09               15.562
          25              3162.05              3211.05              15.0729
          26              3221.98              3211.47               14.499
          27              3311.44              3215.18               14.427
          28              3225.96              3215.56              13.9169
          29              3262.73              3217.19              13.5317
          30              3300.44              3219.96              13.3622
