#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              2015.63              2015.63                    0
           2              2032.04              2023.83              5.80224
           3              2068.25              2038.64              12.6918
           4              1937.57              2013.37              23.8631
           5              2072.52               2025.2              21.8265
           6              1926.64              2008.77              23.5727
           7              1968.57              2003.03               20.893
           8              2220.48              2030.21              31.3162
           9              2046.91              2032.07              27.8915
          10              2086.31              2037.49              25.6245
          11              2078.79              2041.25              23.5684
          12              2005.56              2038.27              21.7911
          13              1889.85              2026.86              22.9112
          14              2069.91              2029.93              21.4801
          15              1936.66              2023.71              20.9288
          16              2007.52               2022.7              19.6452
          17              2084.03              2026.31              18.8179
          18              2093.78              2030.06               18.142
          19              1942.86              2025.47              17.7582
          20              1924.77              2020.43              17.5696
          21              2035.29              2021.14              16.7472
          22              2093.42              2024.43               16.305
          23              1923.51              2020.04              16.1756
          24              1841.47               2012.6              17.1275
          25              1975.01              2011.09              16.5082
          26              2095.32              2014.33               16.188
          27              2152.73              2019.46              16.3799
          28              2002.27              2018.85              15.8064
          29              1955.63              2016.67               15.411
          30              2028.54              2017.06              14.9024
