#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
          81 8.053821153020308543e-01 8.044946883823307360e-01 1.104643199740556114e-04
          82 8.048141331649166785e-01 8.044985840504109698e-01 1.091858654223658152e-04
          83 8.047268814651306057e-01 8.045013346216727257e-01 1.079050132051683408e-04
          84 8.049375793457663741e-01 8.045065280112451145e-01 1.067453335947435804e-04
          85 8.039294096388398536e-01 8.044997383833345506e-01 1.057052156202767384e-04
          86 8.055680587435535278e-01 8.045121607131046071e-01 1.052034804775184106e-04
          87 8.044978599295897759e-01 8.045119963362824533e-01 1.039943734961878155e-04
          88 8.029790399289037373e-01 8.044945763771077507e-01 1.042614084987949678e-04
          89 8.036996306418980884e-01 8.044856444025547670e-01 1.034718215006886544e-04
          90 8.048960196212010532e-01 8.044902041272063986e-01 1.024225527153789072e-04
          91 8.050094995612548932e-01 8.044959106704376861e-01 1.014558776094170333e-04
          92 8.034512347886051398e-01 8.044845554978090618e-01 1.009865454818037678e-04
          93 8.058904437576966950e-01 8.044996725758722933e-01 1.010258005513036767e-04
          94 8.063073237318252318e-01 8.045189029073186449e-01 1.017648541372957055e-04
          95 8.054487934097565027e-01 8.045286912283969860e-01 1.011632980031990152e-04
          96 8.038459795903297733e-01 8.045215796488337512e-01 1.003591673386667330e-04
          97 8.026613728727731711e-01 8.045024022593898483e-01 1.011402214701400082e-04
          98 8.034543723519875780e-01 8.044917080766613715e-01 1.006719719167563847e-04
          99 8.035923876301030999e-01 8.044826240317466404e-01 1.000640892958894722e-04
         100 8.051830722144146524e-01 8.044896285135734182e-01 9.930830250590124743e-05
