#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1 -5.447978646601993269e+00 -5.447978646601993269e+00 0.000000000000000000e+00
           2 -5.447931876155025499e+00 -5.447955261378509384e+00 1.653585825679697131e-05
           3 -5.448139028349355151e+00 -5.448016517035457973e+00 5.121551430173233580e-05
           4 -5.447974190088715751e+00 -5.448005935298771973e+00 3.948968533174263711e-05
           5 -5.448087368523758300e+00 -5.448022221943769061e+00 3.478854082631846869e-05
           6 -5.447624683179027372e+00 -5.447955965482979224e+00 6.707243345358218796e-05
           7 -5.448095240923780835e+00 -5.447975861974522438e+00 6.036963608791307250e-05
           8 -5.447674282246405930e+00 -5.447938164508507874e+00 6.351201794932239179e-05
           9 -5.447915380833218357e+00 -5.447935632989031163e+00 5.650555953250162566e-05
          10 -5.448567624064315496e+00 -5.447998832096559774e+00 7.861898964737497981e-05
          11 -5.447814950201899542e+00 -5.447982115560681571e+00 7.322744042737177358e-05
          12 -5.447934079208804903e+00 -5.447978112531358441e+00 6.723448184853524773e-05
          13 -5.448221485216643067e+00 -5.447996833507149361e+00 6.461641730697754050e-05
          14 -5.447331218330461411e+00 -5.447949289565957365e+00 7.549226849595043649e-05
          15 -5.448405761028615402e+00 -5.447979720996801056e+00 7.634702465266760875e-05
          16 -5.448386030885981057e+00 -5.448005115364875195e+00 7.568089408452064663e-05
          17 -5.447957989026922299e+00 -5.448002343227348554e+00 7.127983025187902661e-05
          18 -5.447708192421194084e+00 -5.447986001515895182e+00 6.916774113020767052e-05
          19 -5.447964144955367516e+00 -5.447984851170604159e+00 6.553689792341444592e-05
          20 -5.447769031279311669e+00 -5.447974060176038691e+00 6.314220512920528804e-05
          21 -5.448133227696668079e+00 -5.447981639581783497e+00 6.058862925150389304e-05
          22 -5.448186297066436978e+00 -5.447990942194722130e+00 5.854439447884736099e-05
          23 -5.447867266515218354e+00 -5.447985564991265406e+00 5.624538694616504532e-05
          24 -5.447701068019837223e+00 -5.447973710950789972e+00 5.513683089883214170e-05
