#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
          65 -6.655348082642866814e+00 -6.654709831320817059e+00 1.862669183135865587e-04
          66 -6.656821320281717469e+00 -6.654741823577800197e+00 1.861718346028229181e-04
          67 -6.654712891316075130e+00 -6.654741391752998503e+00 1.833936510844601470e-04
          68 -6.655297834595699236e+00 -6.654749574735979500e+00 1.808791549214722172e-04
          69 -6.652032202287545104e+00 -6.654710192526581913e+00 1.824946431215290993e-04
          70 -6.654265397703288620e+00 -6.654703838314820707e+00 1.799981653834375832e-04
          71 -6.655943111117720079e+00 -6.654721292861339954e+00 1.783072614857902406e-04
          72 -6.657020100409587471e+00 -6.654753220743954145e+00 1.786664259424638763e-04
          73 -6.653202058478204783e+00 -6.654731971945793134e+00 1.774780026707434115e-04
          74 -6.654211789233889007e+00 -6.654724942449687042e+00 1.752188066706892461e-04
          75 -6.653365911672288746e+00 -6.654706822039321068e+00 1.738170003189518618e-04
          76 -6.652723181102510708e+00 -6.654680721500678686e+00 1.734785084768067972e-04
          77 -6.654803950568531690e+00 -6.654682321878183870e+00 1.712329222456082537e-04
          78 -6.657303446593830998e+00 -6.654715926041204099e+00 1.723034599995293056e-04
          79 -6.657508897283798355e+00 -6.654751280107566558e+00 1.737116015418765089e-04
          80 -6.652020005926061685e+00 -6.654717139180297281e+00 1.748630191018117489e-04
          81 -6.655364762354895269e+00 -6.654725134528132635e+00 1.728869068756307679e-04
          82 -6.655138244576283668e+00 -6.654730172455548320e+00 1.708519171527017068e-04
          83 -6.655171209064863369e+00 -6.654735486149636614e+00 1.688760711519055621e-04
          84 -6.655267551068655862e+00 -6.654741820255814844e+00 1.669843875729231221e-04
          85 -6.653662244817820870e+00 -6.654729119368309576e+00 1.655021771517377392e-04
          86 -6.656267319993832032e+00 -6.654747005422095185e+00 1.645413801912826537e-04
          87 -6.654906703704511095e+00 -6.654748841034535900e+00 1.626603391401333664e-04
          88 -6.652482408704332606e+00 -6.654723086121692610e+00 1.628381203385606513e-04
          89 -6.653379368367760449e+00 -6.654707988169401567e+00 1.617068862137836587e-04
          90 -6.655466353405955715e+00 -6.654716414449807438e+00 1.601295325092628248e-04
          91 -6.655145842552716573e+00 -6.654721133439949199e+00 1.584393858950649994e-04
          92 -6.653161990305385132e+00 -6.654704186231965579e+00 1.576209776273193206e-04
          93 -6.656535050207746274e+00 -6.654723872941382012e+00 1.571507451816400518e-04
          94 -6.657585683331768145e+00 -6.654754317732768598e+00 1.584005122317153514e-04
          95 -6.656571880716220413e+00 -6.654773449974699773e+00 1.578843442642153150e-04
          96 -6.653323599615735162e+00 -6.654758347366794169e+00 1.569603822803676953e-04
          97 -6.651845637401606837e+00 -6.654728319429008998e+00 1.581884667894122964e-04
          98 -6.652648554097601696e+00 -6.654707097333790067e+00 1.579914324111472658e-04
          99 -6.652565653457063632e+00 -6.654685466587560327e+00 1.578693576939775892e-04
         100 -6.656101915345045583e+00 -6.654699631075135180e+00 1.569248167491876409e-04
