#   N_BLOCK:  ACCEPTANCE:
           1     0.381958
           2     0.382027
           3     0.381881
           4     0.381696
           5      0.38171
           6     0.381689
           7     0.381743
           8     0.381778
           9     0.381759
          10     0.381785
          11     0.381845
          12     0.381831
          13      0.38184
          14     0.381925
          15     0.381885
          16     0.381837
          17     0.381813
          18     0.381818
          19     0.381858
          20     0.381856
          21     0.381854
          22     0.381816
          23     0.381806
          24     0.381801
          25      0.38182
          26     0.381833
          27      0.38183
          28     0.381839
          29     0.381816
          30     0.381824
