#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              3.05584              3.05584                    0
           2               3.0676              3.06172           0.00415779
           3              3.11896               3.0808            0.0158234
           4              2.73226              2.99367            0.0763886
           5              2.91842              2.97862            0.0625757
           6              3.24916              3.02371            0.0664346
           7               3.0413              3.02622            0.0569915
           8              3.04218              3.02822            0.0499024
           9              3.25028              3.05289            0.0500876
          10              2.97436              3.04504            0.0456903
          11              2.93938              3.03543            0.0425342
          12              2.93616              3.02716             0.039786
          13              2.76258              3.00681            0.0416067
          14              3.15754              3.01757            0.0400036
          15              2.94302               3.0126            0.0376442
          16              3.22774              3.02605            0.0376162
          17              2.85826              3.01618            0.0366755
          18              3.01992              3.01639            0.0346386
          19              3.17122              3.02454            0.0337605
          20              3.21732              3.03417            0.0334202
          21              2.97884              3.03154            0.0319325
          22               3.0496              3.03236            0.0304916
          23              2.88802              3.02609            0.0298047
          24                2.858              3.01908            0.0293741
          25              3.02176              3.01919            0.0281994
          26              3.03836              3.01993            0.0271244
          27              3.00506              3.01938            0.0261254
          28              3.14662              3.02392            0.0255845
          29              3.29458              3.03325            0.0263497
          30              2.90102              3.02885            0.0258374
