#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              150.889              150.889                    0
           2               150.77              150.829            0.0418866
           3              153.907              151.855             0.838146
           4              152.865              152.108             0.665575
           5              152.326              152.152             0.533893
           6              153.657              152.402             0.500376
           7              151.199              152.231             0.457452
           8              152.999              152.327             0.410227
           9              151.331              152.216             0.379268
          10              151.868              152.181             0.342932
          11               149.63              151.949             0.382204
          12              157.703              152.429             0.577515
          13              153.032              152.475             0.534951
          14              152.252              152.459             0.496976
          15              154.313              152.583             0.478966
          16              153.026               152.61             0.449829
          17              152.967              152.631             0.423856
          18              154.161              152.716             0.408741
          19              151.292              152.641             0.394049
          20              154.976              152.758              0.39126
          21              153.074              152.773             0.372918
          22              152.223              152.748             0.356805
          23              150.904              152.668             0.350188
          24              151.902              152.636             0.337048
          25              151.758              152.601              0.32539
          26              152.155              152.584             0.313326
          27              151.985              152.562             0.302504
          28               155.31               152.66             0.307214
          29              153.554              152.691             0.298165
          30              151.048              152.636             0.293208
