#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1                4.318                4.318                    0
           2               5.5301              4.92405             0.428542
           3                5.222              5.02337              0.29698
           4               4.2794              4.83737             0.274874
           5               4.7727              4.82444             0.220203
           6               4.7831              4.81755              0.18361
           7               5.2363              4.87737             0.166841
           8               4.6799              4.85269             0.147801
           9               4.9739              4.86616             0.131991
          10               5.1988              4.89942             0.122912
          11               5.2108              4.92773             0.114951
          12               5.8857              5.00756             0.130174
          13               4.8808              4.99781             0.120525
          14               5.1402              5.00798             0.112344
          15               4.8685              4.99868             0.105239
          16               4.6717              4.97824             0.100626
          17               5.7136               5.0215             0.103588
          18               5.4289              5.04413             0.100275
          19               4.5962              5.02056            0.0977296
          20               5.4839              5.04372            0.0955496
          21               5.4332              5.06227            0.0927821
          22               5.9015              5.10042            0.0960872
          23               4.0821              5.05614             0.101599
          24               5.2956              5.06612            0.0978544
          25               4.6688              5.05023            0.0952221
          26               5.2628               5.0584            0.0919101
          27                4.765              5.04754            0.0891461
          28               5.1287              5.05044            0.0860094
          29                 4.93              5.04628            0.0831438
          30               4.7207              5.03543            0.0810775
          31               4.1348              5.00638            0.0835053
          32               4.6034              4.99378            0.0818398
          33               4.9474              4.99238            0.0793718
          34               5.1533              4.99711            0.0771784
          35               5.2099              5.00319            0.0752123
          36               6.0863              5.03328            0.0789115
          37               4.6581              5.02314            0.0774275
          38                4.747              5.01587            0.0757302
          39               5.2285              5.02132            0.0739844
          40               4.4813              5.00782            0.0733562
