#   N_BLOCK:  ACCEPTANCE:
           1     0.289802
           2     0.290971
           3     0.291579
           4     0.291836
           5     0.291789
           6     0.291987
           7      0.29207
           8     0.292205
           9     0.292349
          10     0.292172
          11     0.292009
          12     0.292083
          13     0.291805
          14     0.291854
          15     0.291686
          16     0.291719
          17     0.291702
          18     0.291762
          19     0.291696
          20      0.29183
          21     0.291792
          22     0.291756
          23     0.291826
          24     0.291881
          25     0.291774
          26     0.291732
          27     0.291762
          28      0.29169
          29     0.291689
          30     0.291631
          31     0.291658
          32     0.291623
          33     0.291614
          34     0.291573
          35     0.291629
          36     0.291658
          37     0.291688
          38     0.291665
          39     0.291692
          40     0.291696
