#   N_BLOCK:  ACCEPTANCE:
           1     0.123272
           2     0.124144
           3     0.124166
           4     0.124613
           5     0.124133
           6      0.12381
           7     0.123857
           8     0.123569
           9     0.123879
          10     0.123781
          11     0.124053
          12     0.123889
          13     0.123597
          14     0.123667
          15     0.123852
          16      0.12385
          17      0.12406
          18     0.123884
          19     0.123689
          20     0.123766
          21     0.123816
          22     0.123753
          23     0.123915
          24     0.123842
          25     0.123722
          26     0.123689
          27     0.123674
          28       0.1237
          29     0.123676
          30     0.123786
          31     0.123861
          32     0.123901
          33     0.124016
          34     0.124025
          35     0.123984
          36     0.124001
          37     0.123937
          38     0.123903
          39     0.123851
          40     0.123835
