#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              12.5388              12.5388                    0
           2               12.473              12.5059            0.0232776
           3              12.5111              12.5076            0.0155823
           4              12.6026              12.5314            0.0236571
           5              12.5617              12.5374            0.0196909
           6              12.5606              12.5413            0.0167825
           7               12.497               12.535            0.0155298
           8              12.5892              12.5418            0.0149961
           9              12.5887               12.547            0.0142066
          10              12.5485              12.5471            0.0127868
          11              12.6191              12.5537             0.013194
          12              12.5342               12.552             0.012194
          13              12.4763              12.5462            0.0125695
          14              12.4967              12.5427            0.0121599
          15              12.4817              12.5386            0.0120105
          16              12.4391              12.5324            0.0127687
          17              12.5376              12.5327            0.0120213
          18              12.6129              12.5372            0.0121509
          19               12.533              12.5369            0.0115134
          20              12.4882              12.5345            0.0111928
          21              12.5485              12.5352            0.0106796
          22              12.5568              12.5361            0.0102393
          23              12.6232              12.5399            0.0104711
          24              12.5027              12.5384            0.0101491
          25              12.5755              12.5399           0.00985091
          26              12.5624              12.5407           0.00951007
          27              12.5423              12.5408           0.00915802
          28              12.4475              12.5375           0.00941761
          29              12.3258              12.5302            0.0115807
          30              12.6211              12.5332             0.011585
