#   N_BLOCK:  ACCEPTANCE:
           1     0.470091
           2     0.469761
           3     0.469693
           4     0.469794
           5     0.469708
           6     0.469598
           7     0.469629
           8     0.469608
           9     0.469483
          10     0.469521
          11     0.469477
          12     0.469488
          13     0.469461
          14     0.469432
          15     0.469443
          16     0.469401
          17     0.469403
          18     0.469433
          19     0.469465
          20      0.46949
          21     0.469506
          22     0.469445
          23     0.469433
          24     0.469423
          25     0.469439
          26     0.469455
          27     0.469441
          28     0.469436
          29     0.469404
          30     0.469393
