#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              530.043              530.043                    0
           2              530.768              530.406             0.256124
           3              517.979              526.264              3.38632
           4              537.696              529.122              3.54641
           5              551.717              533.641              4.93833
           6               532.06              533.377               4.1223
           7              564.277              537.792              5.40245
           8              537.758              537.787              4.72714
           9              540.745              538.116              4.21331
          10              536.939              537.998              3.79362
          11              532.697              537.516              3.47923
          12              548.885              538.464              3.31577
          13              529.001              537.736              3.13959
          14              542.511              538.077               2.9338
          15              549.587              538.844              2.83679
          16              549.281              539.497              2.73347
          17               542.36              539.665              2.57786
          18              523.596              538.772               2.5846
          19              543.351              539.013              2.45977
          20              527.057              538.415              2.40834
          21              536.752              538.336              2.29496
          22              527.037              537.823              2.24738
          23              528.638              537.423              2.18485
          24              543.787              537.688              2.10985
          25              560.068              538.584              2.20721
          26              570.223              539.801              2.43478
          27              560.473              540.566              2.46204
          28              547.104                540.8              2.38516
          29              552.699               541.21              2.33794
          30              538.793               541.13               2.2614
