#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.88392              1.88392                    0
           2              2.12626              2.00509            0.0856801
           3              2.13598              2.04872            0.0673183
           4              2.21946               2.0914            0.0625749
           5              2.05282              2.08369            0.0505335
           6              2.27708              2.11592            0.0513723
           7              2.06664              2.10888            0.0445131
           8               2.1239              2.11076            0.0389886
           9              2.15112              2.11524            0.0349135
          10              2.22408              2.12613            0.0330751
          11              2.00878              2.11546             0.031742
          12              2.05686              2.11058            0.0294701
          13               1.8448              2.09013            0.0335534
          14              2.21462              2.09902            0.0323135
          15              2.07758              2.09759            0.0301908
          16              1.93994              2.08774            0.0298686
          17              1.87916              2.07547            0.0305278
          18              2.07504              2.07545            0.0288318
          19               2.2597              2.08514            0.0288992
          20              2.22824               2.0923            0.0283261
          21              1.91508              2.08386            0.0282063
          22              2.09566               2.0844            0.0269293
          23              1.80716              2.07234             0.028328
          24              1.99578              2.06915            0.0273267
          25              2.06402              2.06895            0.0262344
          26              2.04282              2.06794            0.0252446
          27              2.18372              2.07223            0.0246711
          28               1.9608              2.06825            0.0241089
          29              1.98636              2.06543            0.0234423
          30               1.7035              2.05336            0.0255775
