#   N_BLOCK:  ACCEPTANCE:
           1     0.460114
           2     0.459873
           3      0.45976
           4     0.459867
           5     0.459843
           6     0.459721
           7     0.459712
           8     0.459725
           9     0.459599
          10      0.45964
          11     0.459585
          12     0.459579
          13     0.459575
          14     0.459528
          15     0.459538
          16     0.459495
          17     0.459498
          18     0.459529
          19     0.459569
          20     0.459586
          21     0.459605
          22     0.459556
          23     0.459546
          24     0.459567
          25     0.459599
          26     0.459641
          27     0.459639
          28     0.459642
          29     0.459599
          30     0.459576
