#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
          43 9.651720021727037135e+00 9.649175451861957242e+00 1.164028947955215087e-03
          44 9.658240472425696055e+00 9.649381475056587831e+00 1.155662108494057280e-03
          45 9.650764562249161571e+00 9.649412210327533046e+00 1.130389362763029341e-03
          46 9.659652808680066371e+00 9.649634832030848486e+00 1.127524431135469530e-03
          47 9.658739387858354064e+00 9.649828545984625805e+00 1.120051423711003729e-03
          48 9.650020173732597684e+00 9.649832538229373924e+00 1.096724134099713848e-03
          49 9.640711548397705499e+00 9.649646395579749125e+00 1.090024180146764677e-03
          50 9.640362589197813747e+00 9.649460719452109814e+00 1.083922496298327489e-03
          51 9.647528634455690977e+00 9.649422835432572398e+00 1.063330947400407175e-03
          52 9.656522044637329216e+00 9.649559358686509825e+00 1.051610005937647207e-03
          53 9.665647315321223232e+00 9.649862905038107286e+00 1.074684944954396645e-03
          54 9.642336822798306173e+00 9.649723533144777932e+00 1.063782295651736045e-03
          55 9.623023085209965188e+00 9.649238070455053773e+00 1.149889396528107084e-03
          56 9.652678980868961034e+00 9.649299515283873419e+00 1.130996131186179973e-03
          57 9.645354059823079140e+00 9.649230296767017379e+00 1.113270212917670228e-03
          58 9.640802994038651264e+00 9.649084998444113381e+00 1.103516960558962147e-03
          59 9.646862424680355375e+00 9.649047327702353627e+00 1.085456075799408251e-03
          60 9.653627706704972056e+00 9.649123667352396794e+00 1.070046241106521094e-03
          61 9.658476216215486687e+00 9.649276987825562202e+00 1.063431956159169084e-03
          62 9.655581382327280693e+00 9.649378671607847124e+00 1.051130012095812579e-03
          63 9.648082329149431757e+00 9.649358094743428538e+00 1.034646794833181654e-03
          64 9.655945579198329298e+00 9.649461024188036973e+00 1.023587483272688425e-03
          65 9.648148886112725364e+00 9.649440837448416630e+00 1.008039020808492803e-03
          66 9.636537612714164425e+00 9.649245334043351718e+00 1.011546443008957529e-03
          67 9.651335272202089755e+00 9.649276527150199456e+00 9.969295703875834334e-04
          68 9.640669238020270981e+00 9.649149949368876378e+00 9.902718793656627855e-04
          69 9.657484715726782909e+00 9.649270743084208846e+00 9.832597432852907375e-04
          70 9.650253352979451194e+00 9.649284780368427406e+00 9.693133704180464634e-04
          71 9.639444650928231439e+00 9.649146186996029328e+00 9.655183404918084213e-04
          72 9.649816155969690001e+00 9.649155492120662814e+00 9.521532012212941464e-04
          73 9.657722379364241050e+00 9.649272846740439391e+00 9.463144573288549818e-04
          74 9.639126623997469778e+00 9.649135735622289545e+00 9.434071214732853714e-04
          75 9.659235390168191770e+00 9.649270397682901290e+00 9.403900899015253927e-04
          76 9.667645883854802946e+00 9.649512180395689143e+00 9.585950009477910193e-04
          77 9.661719792773343585e+00 9.649670720816178715e+00 9.591664871142384970e-04
          78 9.638997569673394494e+00 9.649533885545118039e+00 9.565801874965520904e-04
          79 9.650269299842967996e+00 9.649543194586863493e+00 9.445168722139029444e-04
          80 9.677093173752705724e+00 9.649887569326436321e+00 9.935090579818496321e-04
          81 9.648500124302350045e+00 9.649870440375522662e+00 9.813911616957363051e-04
          82 9.652138412379803967e+00 9.649898098570696803e+00 9.698126389661330601e-04
          83 9.656928323361961830e+00 9.649982800074205613e+00 9.618198674839658876e-04
          84 9.645826320704133039e+00 9.649933318176943331e+00 9.516416054007443247e-04
          85 9.645504263364399478e+00 9.649881211649736557e+00 9.418712714032201512e-04
          86 9.645216586630533939e+00 9.649826971823932453e+00 9.324797344778168375e-04
          87 9.646957034583188317e+00 9.649793984039556349e+00 9.223448866828867993e-04
          88 9.657216175632520105e+00 9.649878327125840372e+00 9.157119174240146205e-04
          89 9.649123903644509781e+00 9.649869850457509557e+00 9.054622527946030661e-04
          90 9.645717583239266091e+00 9.649823714155084886e+00 8.965761893698076523e-04
