#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              3992.52              3992.52                    0
           2              3969.38              3980.95              8.18182
           3                 3942              3967.96              11.9216
           4              3922.57              3956.62              13.2865
           5              3955.04               3956.3              10.6329
           6               3927.4              3951.48              9.89152
           7              4006.36              3959.32               11.161
           8              3988.96              3963.03              10.3623
           9              4073.71              3975.33              14.8083
          10              3913.54              3969.15              14.5597
          11              4068.89              3978.22              15.8095
          12              4091.24              3987.63              17.0687
          13              3985.58              3987.48              15.7564
          14               3895.3              3980.89              15.9473
          15              4024.64              3983.81              15.1484
          16              3965.85              3982.69              14.2432
          17              3939.95              3980.17              13.6254
          18               3946.1              3978.28              12.9993
          19               4046.1              3981.85              12.7959
          20              3879.93              3976.75              13.1318
          21              3938.87              3974.95              12.6297
          22              3960.42              3974.29              12.0729
          23              3967.95              3974.01              11.5511
          24              3896.43              3970.78              11.5133
          25              3865.98              3966.59              11.7913
          26              4058.32              3970.12              11.8539
          27              3874.71              3966.58              11.9299
          28              3918.69              3964.87              11.6258
          29              3928.28              3963.61              11.2932
          30              3903.39               3961.6              11.0937
