#   N_BLOCK:  ACCEPTANCE:
           1    0.0260464
           2    0.0259403
           3    0.0260684
           4    0.0261785
           5    0.0261087
           6    0.0261717
           7    0.0259932
           8    0.0259115
           9     0.025708
          10    0.0258258
          11    0.0256174
          12    0.0254368
          13    0.0254223
          14    0.0255083
          15    0.0254447
          16    0.0254566
          17     0.025492
          18    0.0255022
          19    0.0254311
          20    0.0255182
          21    0.0255449
          22    0.0255729
          23    0.0255857
          24    0.0256335
          25     0.025705
          26    0.0256481
          27    0.0257027
          28    0.0257252
          29    0.0257441
          30    0.0257865
