#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              45.3864              45.3864                    0
           2              45.8133              45.5999             0.150946
           3              45.5918              45.5972             0.100655
           4               44.017              45.2021             0.350339
           5              44.6932              45.1003             0.294688
           6              44.9722               45.079             0.246346
           7              44.2483              44.9603             0.238026
           8              44.2246              44.8683             0.225339
           9              44.3521               44.811             0.207474
          10              46.0385              44.9337             0.220064
          11              44.1699              44.8643             0.210728
          12              44.4886               44.833             0.195479
          13              45.1522              44.8576             0.181978
          14              42.8767              44.7161             0.217126
          15              44.9932              44.7345             0.203436
          16                45.67               44.793             0.198945
          17              46.9527                44.92             0.224165
          18              40.3335              44.6652             0.325795
          19               46.419              44.7575             0.321457
          20              43.9759              44.7185              0.30775
          21              45.1854              44.7407             0.293898
          22              44.5498               44.732             0.280667
          23              43.0916              44.6607             0.277379
          24              45.8251              44.7092             0.270031
          25              45.9598              44.7592             0.263822
          26              42.1608              44.6593             0.271947
          27              44.4223              44.6505             0.262016
          28               44.386              44.6411             0.252829
          29               44.056              44.6209             0.244914
          30              43.5709              44.5859             0.239238
