#   N_BLOCK:  ACCEPTANCE:
           1     0.504855
           2     0.505054
           3     0.504974
           4     0.504727
           5     0.504732
           6     0.505028
           7      0.50491
           8     0.504943
           9     0.505067
          10     0.505112
          11     0.505132
          12     0.505051
          13     0.505094
          14     0.505156
          15     0.505249
          16     0.505143
          17     0.505147
          18     0.505158
          19     0.505067
          20     0.505071
          21     0.505077
          22     0.505051
          23     0.505067
          24     0.505082
          25     0.505116
          26     0.505099
          27     0.505138
          28     0.505061
          29      0.50501
          30      0.50505
          31     0.504995
          32     0.505018
          33     0.504964
          34      0.50498
          35     0.504989
          36     0.504961
          37     0.504932
          38     0.504936
          39     0.504917
          40     0.504894
