#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              11.2475              11.2475                    0
           2              11.1603              11.2039            0.0308247
           3              11.1905              11.1994            0.0208727
           4              11.0056               11.151            0.0447912
           5              11.1479              11.1504            0.0358372
           6              11.1784               11.155            0.0301677
           7              11.1352              11.1522            0.0259908
           8              11.2856              11.1689            0.0275787
           9              11.1928              11.1716            0.0246423
          10              10.9513              11.1495            0.0304729
          11              10.9734              11.1335            0.0316294
          12              11.4044              11.1561            0.0361613
          13              11.1434              11.1551            0.0333928
          14              11.0601              11.1483            0.0316901
          15              11.0761              11.1435            0.0299413
          16              11.0129              11.1353            0.0291614
          17              10.9993              11.1273            0.0285232
          18              10.9331              11.1165            0.0289071
          19               11.129              11.1172            0.0273931
          20              11.2744              11.1251            0.0271279
          21              11.2581              11.1314            0.0265654
          22               11.275              11.1379            0.0261479
          23              11.0764              11.1353            0.0251476
          24              11.2439              11.1398             0.024504
          25              11.3869              11.1497             0.025439
          26              11.0668              11.1465            0.0246593
          27              10.9605              11.1396            0.0246896
          28              10.8918              11.1307            0.0253445
          29                11.15              11.1314            0.0244793
          30              11.3356              11.1382            0.0245914
          31               11.026              11.1346             0.024063
          32              11.1188              11.1341            0.0233161
          33              11.0747              11.1323            0.0226789
          34              11.1181              11.1319            0.0220157
          35              11.4516               11.141            0.0232046
          36              11.0792              11.1393            0.0226234
          37              11.0432              11.1367            0.0221604
          38               11.015              11.1335            0.0218075
          39              11.2481              11.1364            0.0214455
          40              11.2498              11.1393            0.0210958
