#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.827876            -0.827876                    0
           2            -0.828448            -0.828162          0.000202233
           3            -0.826603            -0.827642          0.000445159
           4            -0.828276            -0.827801          0.000360952
           5            -0.827376            -0.827716          0.000298593
           6            -0.828674            -0.827876          0.000288417
           7            -0.827802            -0.827865          0.000247409
           8            -0.828418            -0.827934          0.000225919
           9            -0.828718            -0.828021          0.000216942
          10            -0.827318            -0.827951          0.000206341
          11            -0.828837            -0.828031          0.000202695
          12            -0.827138            -0.827957          0.000198994
          13            -0.826667            -0.827858          0.000206945
          14            -0.828041            -0.827871          0.000192576
          15            -0.829811               -0.828          0.000218916
          16            -0.827978            -0.827999          0.000205238
          17            -0.829189            -0.828069          0.000204756
          18            -0.829013            -0.828121          0.000199985
          19            -0.825874            -0.828003          0.000221702
          20            -0.827577            -0.827982          0.000211638
          21            -0.829138            -0.828037          0.000208597
          22            -0.828841            -0.828073          0.000202292
          23            -0.827136            -0.828032          0.000197558
          24            -0.828142            -0.828037          0.000189379
          25            -0.826323            -0.827968          0.000193814
          26            -0.828224            -0.827978          0.000186609
          27            -0.828203            -0.827987          0.000179883
          28            -0.827136            -0.827956          0.000176006
          29            -0.826575            -0.827909          0.000176261
          30             -0.82885             -0.82794          0.000173154
