#   N_BLOCK:  ACCEPTANCE:
           1     0.171651
           2     0.171556
           3     0.171901
           4     0.171886
           5      0.17196
           6     0.171893
           7     0.171954
           8     0.171943
           9     0.171854
          10     0.171931
          11     0.171847
          12     0.171938
          13     0.172035
          14     0.172035
          15     0.171937
          16     0.171931
          17     0.171862
          18     0.171825
          19     0.171942
          20     0.171974
          21     0.171925
          22     0.171887
          23     0.171918
          24     0.171905
          25     0.171957
          26      0.17195
          27     0.171949
          28     0.171976
          29      0.17202
          30     0.171988
