#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              190.704              190.704                    0
           2              190.171              190.438             0.188438
           3              190.569              190.482              0.13063
           4              191.499              190.736             0.241107
           5              188.721              190.333             0.408778
           6              189.995              190.277             0.344516
           7              190.371               190.29             0.295566
           8              191.541              190.446             0.297092
           9               192.41              190.665             0.334712
          10              189.378              190.536             0.325029
          11              189.597              190.451             0.306494
          12              186.364               190.11             0.430425
          13                189.4              190.055             0.400767
          14              189.361              190.006             0.375197
          15              186.173               189.75             0.428453
          16              191.361              189.851             0.413327
          17              191.648              189.957             0.402311
          18              189.112               189.91             0.382688
          19              188.302              189.825             0.371785
          20              189.431              189.805             0.353719
          21              192.615              189.939             0.361295
          22              192.329              190.048              0.36084
          23              193.892              190.215             0.381901
          24              190.471              190.226             0.366138
          25              191.539              190.278              0.35524
          26              193.407              190.398             0.361389
          27              189.558              190.367             0.349342
          28              191.482              190.407             0.339128
          29              192.048              190.464              0.33212
          30              192.449               190.53             0.327576
