#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1               17.518               17.518                    0
           2              17.5054              17.5117           0.00445626
           3              17.8077              17.6103            0.0806302
           4              17.8349              17.6665            0.0775948
           5              17.4926              17.6317            0.0694344
           6              17.8261              17.6641            0.0649814
           7              17.4356              17.6315            0.0633683
           8              17.5796               17.625            0.0557776
           9              17.5546              17.6172             0.050126
          10              17.6611              17.6215            0.0453054
          11               17.887              17.6457            0.0471797
          12              17.4781              17.6317            0.0452677
          13              17.6571              17.6337            0.0418275
          14              17.5592              17.6284            0.0391763
          15              17.6166              17.6276            0.0365723
          16              17.6232              17.6273            0.0342876
          17               17.861               17.641            0.0349186
          18              17.7759              17.6485            0.0337727
          19              17.5009              17.6408            0.0328775
          20               17.586               17.638            0.0313473
          21              17.6135              17.6369            0.0298763
          22              17.5116              17.6312            0.0290553
          23              17.6667              17.6327            0.0278332
          24              17.6176              17.6321            0.0266806
          25              17.7244              17.6358            0.0258677
          26              17.6407               17.636            0.0248735
          27              17.7008              17.6384             0.024068
          28              17.7036              17.6407            0.0233208
          29              17.7104              17.6431              0.02264
          30              17.5477              17.6399            0.0221077
