#   N_BLOCK:  ACCEPTANCE:
           1     0.342667
           2     0.342601
           3     0.342449
           4     0.342484
           5     0.342466
           6     0.342572
           7     0.342631
           8     0.342557
           9     0.342571
          10     0.342654
          11     0.342685
          12     0.342741
          13     0.342753
          14     0.342847
          15     0.342803
          16     0.342724
          17     0.342737
          18     0.342774
          19      0.34284
          20      0.34285
          21     0.342846
          22     0.342791
          23     0.342767
          24     0.342761
          25     0.342752
          26     0.342797
          27     0.342808
          28     0.342819
          29     0.342803
          30     0.342783
