#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              3.30948              3.30948                    0
           2              3.54966              3.42957            0.0849165
           3              3.89634              3.58516             0.139081
           4              3.48578              3.56032             0.106507
           5              3.93584              3.63542             0.108502
           6              3.99104              3.69469              0.10537
           7               3.7621              3.70432            0.0907563
           8              3.87482              3.72563            0.0818759
           9              3.95926              3.75159            0.0767835
          10              3.93932              3.77036            0.0713631
          11              4.27944              3.81664            0.0784598
          12              3.97226              3.82961            0.0729853
          13              3.51752               3.8056              0.07121
          14               4.0963              3.82637            0.0690845
          15              3.79652              3.82438            0.0645075
          16              3.79216              3.82237            0.0605072
          17              3.76516                3.819            0.0570415
          18              3.69572              3.81215            0.0542821
          19              3.74456              3.80859            0.0515416
          20              3.85814              3.81107             0.049024
          21              3.83162              3.81205            0.0466993
          22              3.92696              3.81727            0.0448678
          23              3.86032              3.81914             0.042956
          24               3.7741              3.81727            0.0412072
          25              3.78916              3.81614            0.0395742
          26              3.92182              3.82021            0.0382603
          27              3.79596              3.81931            0.0368538
          28              3.48688              3.80744            0.0374011
          29              4.05566                3.816            0.0370779
          30              3.69028              3.81181             0.036078
