#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              19.4412              19.4412                    0
           2              18.9994              19.2203             0.156208
           3              19.7158              19.3854             0.170391
           4              19.3427              19.3748             0.128127
           5              19.3313              19.3661             0.102796
           6              19.3502              19.3634            0.0856979
           7              18.8331              19.2877             0.101566
           8              19.8656              19.3599             0.111646
           9              18.8083              19.2986             0.114838
          10              19.1719              19.2859             0.104051
          11              19.3167              19.2887            0.0946294
          12              19.0262              19.2669            0.0892374
          13              19.1566              19.2584            0.0827749
          14              19.0437               19.243            0.0782695
          15              19.5775              19.2653            0.0761607
          16               19.277              19.2661            0.0714041
          17              19.3089              19.2686            0.0672483
          18              18.8984               19.248            0.0665829
          19              18.9866              19.2343            0.0644849
          20              19.5313              19.2491            0.0629475
          21              19.0801              19.2411            0.0604623
          22              19.5163              19.2536            0.0589944
          23              19.2216              19.2522            0.0564458
          24               19.075              19.2448            0.0545746
          25              19.9045              19.2712            0.0584236
          26              19.5657              19.2825            0.0572643
          27              19.9935              19.3089            0.0608983
          28              19.2998              19.3085            0.0587242
          29              19.3842              19.3111            0.0567571
          30              19.2972              19.3107            0.0548671
