#   N_BLOCK:  ACCEPTANCE:
           1    0.0413025
           2    0.0405035
           3    0.0401656
           4    0.0402477
           5    0.0403725
           6      0.04037
           7    0.0403159
           8    0.0405443
           9    0.0403129
          10    0.0401649
          11    0.0400635
          12    0.0398175
          13    0.0396977
          14    0.0397042
          15    0.0396426
          16    0.0395817
          17    0.0394753
          18    0.0393872
          19    0.0393845
          20    0.0394489
          21    0.0394711
          22    0.0394614
          23    0.0394981
          24    0.0394846
          25    0.0395618
          26    0.0395798
          27    0.0397052
          28    0.0397323
          29    0.0397458
          30    0.0397561
