#   N_BLOCK:  ACCEPTANCE:
           1     0.423104
           2     0.424355
           3     0.424571
           4      0.42445
           5     0.424364
           6     0.424678
           7     0.424529
           8     0.424566
           9     0.424853
          10     0.424582
          11     0.424583
          12     0.424621
          13     0.424673
          14     0.424641
          15     0.424706
          16     0.424685
          17     0.424749
          18     0.424729
          19     0.424772
          20     0.424807
          21     0.424771
          22     0.424738
          23     0.424743
          24     0.424744
          25     0.424709
          26     0.424743
          27     0.424811
          28     0.424719
          29     0.424707
          30     0.424715
          31     0.424709
          32     0.424712
          33      0.42473
          34     0.424754
          35     0.424784
          36     0.424764
          37     0.424727
          38     0.424713
          39     0.424688
          40     0.424699
