#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              124.671              124.671                    0
           2              120.571              122.621              1.44964
           3              121.622              122.288              1.00395
           4              124.675              122.885             0.913263
           5              125.349              123.377             0.853254
           6              120.464              122.892             0.837892
           7              121.443              122.685             0.743305
           8              124.346              122.893             0.678788
           9              117.495              122.293             0.826872
          10                120.3              122.094             0.767824
          11              120.127              121.915             0.718538
          12              121.052              121.843             0.662246
          13              122.638              121.904             0.614118
          14               121.02              121.841             0.573487
          15              122.714              121.899             0.538199
          16              122.606              121.943             0.506372
          17              121.854              121.938             0.476613
          18              121.193              121.897              0.45193
          19              124.655              122.042             0.450858
          20              122.572              122.068             0.429093
          21              119.731              121.957             0.422853
          22              120.614              121.896             0.408014
          23              123.751              121.977             0.398162
          24               123.17              122.026             0.384665
          25              121.249              121.995             0.370532
          26              121.831              121.989             0.356334
          27              122.327              122.002             0.343357
          28                123.9              122.069             0.337724
          29              120.307              122.009             0.331499
          30              117.016              121.842             0.359807
          31              120.179              121.788             0.352179
          32               118.24              121.678             0.358203
          33              121.082               121.66             0.347803
          34              124.901              121.755             0.350399
          35              122.236              121.769             0.340657
          36              121.431              121.759             0.331323
          37              123.132              121.796              0.32444
          38              124.211               121.86             0.322063
          39              124.676              121.932             0.321799
          40              121.303              121.916             0.314138
