#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              151.296              151.296                    0
           2              150.761              151.028             0.189067
           3              151.339              151.132             0.151723
           4              152.677              151.518             0.353323
           5              152.942              151.803             0.380543
           6              153.888               152.15             0.448576
           7              154.084              152.427             0.461793
           8              154.336              152.665             0.461658
           9              152.189              152.613             0.413384
          10              152.453              152.597             0.372352
          11              154.694              152.787             0.384216
          12              152.231              152.741             0.354983
          13              151.824               152.67             0.334617
          14              155.155              152.848             0.354663
          15              153.483               152.89             0.333535
          16              151.343              152.793             0.326402
          17              150.212              152.642             0.340708
          18              153.235              152.675             0.323372
          19              153.225              152.703             0.307648
          20              153.033               152.72             0.292706
          21              152.461              152.708             0.279028
          22              152.928              152.718             0.266526
          23              152.114              152.691             0.256225
          24              150.267               152.59             0.264717
          25              153.803              152.639             0.258534
          26              155.003               152.73             0.264092
          27              152.779              152.732             0.254317
          28              156.648              152.872             0.281076
          29              153.009              152.876             0.271423
          30              156.938              153.012             0.294208
