#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1               161.27               161.27                    0
           2              162.329                161.8             0.374198
           3              161.184              161.594             0.300562
           4              163.679              162.115             0.504421
           5              163.989               162.49             0.524621
           6              165.237              162.948             0.604759
           7              164.418              163.158             0.553646
           8              167.122              163.654             0.670465
           9              163.224              163.606             0.597667
          10              163.354              163.581             0.538432
          11              165.121              163.721             0.507357
          12              163.718               163.72             0.465077
          13              163.437              163.699             0.429811
          14              167.347              163.959             0.471537
          15              164.653              164.005             0.442363
          16              162.741              163.926             0.421711
          17              161.638              163.792             0.417832
          18              163.901              163.798             0.394663
          19              165.091              163.866             0.379715
          20               165.12              163.929             0.365873
          21              163.706              163.918             0.348604
          22              163.385              163.894               0.3336
          23              163.448              163.874             0.319658
          24              161.147              163.761             0.325917
          25              164.724              163.799             0.315147
          26              166.187              163.891             0.316125
          27              163.967              163.894             0.304429
          28              168.628              164.063             0.337259
          29              163.367              164.039             0.326482
          30              167.159              164.143             0.331746
