#   N_BLOCK:  ACCEPTANCE:
           1     0.465637
           2     0.467142
           3     0.467086
           4     0.467087
           5     0.467308
           6     0.467695
           7     0.467565
           8     0.467608
           9      0.46795
          10     0.467912
          11     0.467973
          12     0.467942
          13     0.467921
          14     0.467894
          15     0.467935
          16      0.46791
          17     0.467884
          18     0.467794
          19     0.467662
          20     0.467652
          21     0.467634
          22     0.467589
          23     0.467691
          24     0.467683
          25      0.46767
          26     0.467723
          27     0.467802
          28     0.467774
          29     0.467708
          30     0.467704
          31     0.467719
          32     0.467669
          33     0.467648
          34     0.467656
          35      0.46763
          36     0.467593
          37      0.46758
          38     0.467589
          39     0.467558
          40     0.467537
