#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              6.45432              6.45432                    0
           2              6.04914              6.25173             0.143253
           3              6.45092              6.31813             0.109816
           4               6.3953              6.33742            0.0840399
           5              6.07586              6.28511            0.0819107
           6              6.34622              6.29529            0.0688893
           7               7.1997              6.42449             0.133397
           8              6.36072              6.41652             0.116961
           9              6.50988               6.4269             0.104424
          10              5.51722              6.33593             0.127594
          11              6.00094              6.30547             0.119573
          12              6.75818               6.3432             0.115407
          13              6.59648              6.36268             0.108161
          14              6.77964              6.39247             0.104455
          15              6.17534              6.37799            0.0984896
          16              6.74312              6.40081             0.094941
          17              7.09724              6.44178             0.097796
          18              6.27586              6.43256            0.0927963
          19               6.8005              6.45193            0.0899102
          20                6.592              6.45893             0.085687
          21              6.13026              6.44328            0.0830237
          22              6.45372              6.44375            0.0792513
          23              6.39518              6.44164            0.0758337
          24              6.96626               6.4635            0.0757589
          25              7.19442              6.49274            0.0781668
          26               6.6027              6.49697            0.0752747
          27               5.9653              6.47727            0.0750181
          28              7.14526              6.50113            0.0760377
          29              5.73764               6.4748            0.0778401
          30               5.8741              6.45478            0.0777782
